"ID","Group","Week_0","Week_1","Week_6","Week_7","Delta_BW_0_1","Delta_BW_6_7","PercentChange_0_1","PercentChange_6_7"
"ID14","CTRL",22.92,23.64,26.58,27.41,0.719999999999999,0.830000000000002,3.14,3.12
"ID15","CTRL",22.4,23.09,26.37,26.94,0.690000000000001,0.57,3.08,2.16
"ID16","CTRL",22.84,24.07,26.91,27.22,1.23,0.309999999999999,5.39,1.15
"ID17","CTRL",22.76,24.34,26.77,27.46,1.58,0.690000000000001,6.94,2.58
"ID18","CTRL",21.71,22.98,24.77,25.42,1.27,0.650000000000002,5.85,2.62
"ID01","DSS-IL10-KO",29.54,25.7,27.76,26.48,-3.84,-1.28,-13,-4.61
"ID02","DSS-IL10-KO",27.26,25.74,25.6,23.65,-1.52,-1.95,-5.58,-7.62
"ID03","DSS-IL10-KO",29.58,24.9,22.73,21.92,-4.68,-0.809999999999999,-15.82,-3.56
"ID11","DSS-IL10-KO",28.77,25.48,29.01,27.57,-3.29,-1.44,-11.44,-4.96
"ID12","DSS-IL10-KO",28.93,25.31,29.51,27.76,-3.62,-1.75,-12.51,-5.93
"ID04","IL10-KO",28.14,23.7,25.76,25.46,-4.44,-0.300000000000001,-15.78,-1.16
"ID05","IL10-KO",27.6,25.28,26.6,26.46,-2.32,-0.140000000000001,-8.41,-0.53
"ID06","IL10-KO",28.84,26.7,28.76,28.77,-2.14,0.00999999999999801,-7.42,0.03
"ID07","IL10-KO",28.46,26.17,28.3,27.45,-2.29,-0.850000000000001,-8.05,-3
"ID08","IL10-KO",27.36,25.09,26.4,26.8,-2.27,0.400000000000002,-8.3,1.52
