ID,Group,Week,Replicate,BW,Week_num
ID14,CTRL,Week 0,Rep1,22.92,0
ID14,CTRL,Week 1,Rep1,23.64,1
ID14,CTRL,Week 2,Rep1,25,2
ID14,CTRL,Week 3,Rep1,25.42,3
ID14,CTRL,Week 4,Rep1,25.17,4
ID14,CTRL,Week 5,Rep1,26.02,5
ID14,CTRL,Week 6,Rep1,26.58,6
ID14,CTRL,Week 7,Rep1,27.41,7
ID14,CTRL,Week 8,Rep1,27.8,8
ID14,CTRL,Week 9,Rep1,28.5,9
ID14,CTRL,Week 10,Rep1,29.15,10
ID14,CTRL,Week 11,Rep1,29.11,11
ID14,CTRL,Week 12,Rep1,29.55,12
ID15,CTRL,Week 0,Rep2,22.4,0
ID15,CTRL,Week 1,Rep2,23.09,1
ID15,CTRL,Week 2,Rep2,24.58,2
ID15,CTRL,Week 3,Rep2,24.81,3
ID15,CTRL,Week 4,Rep2,24.94,4
ID15,CTRL,Week 5,Rep2,25.99,5
ID15,CTRL,Week 6,Rep2,26.37,6
ID15,CTRL,Week 7,Rep2,26.94,7
ID15,CTRL,Week 8,Rep2,28.6,8
ID15,CTRL,Week 9,Rep2,29.9,9
ID15,CTRL,Week 10,Rep2,30.28,10
ID15,CTRL,Week 11,Rep2,30.55,11
ID15,CTRL,Week 12,Rep2,31,12
ID16,CTRL,Week 0,Rep3,22.84,0
ID16,CTRL,Week 1,Rep3,24.07,1
ID16,CTRL,Week 2,Rep3,24.91,2
ID16,CTRL,Week 3,Rep3,25.33,3
ID16,CTRL,Week 4,Rep3,26.26,4
ID16,CTRL,Week 5,Rep3,27.05,5
ID16,CTRL,Week 6,Rep3,26.91,6
ID16,CTRL,Week 7,Rep3,27.22,7
ID16,CTRL,Week 8,Rep3,28.2,8
ID16,CTRL,Week 9,Rep3,29,9
ID16,CTRL,Week 10,Rep3,29.53,10
ID16,CTRL,Week 11,Rep3,29.52,11
ID16,CTRL,Week 12,Rep3,30.1,12
ID17,CTRL,Week 0,Rep4,22.76,0
ID17,CTRL,Week 1,Rep4,24.34,1
ID17,CTRL,Week 2,Rep4,24.59,2
ID17,CTRL,Week 3,Rep4,25.4,3
ID17,CTRL,Week 4,Rep4,26,4
ID17,CTRL,Week 5,Rep4,26.57,5
ID17,CTRL,Week 6,Rep4,26.77,6
ID17,CTRL,Week 7,Rep4,27.46,7
ID17,CTRL,Week 8,Rep4,27.8,8
ID17,CTRL,Week 9,Rep4,28.4,9
ID17,CTRL,Week 10,Rep4,29.35,10
ID17,CTRL,Week 11,Rep4,29.28,11
ID17,CTRL,Week 12,Rep4,29.23,12
ID18,CTRL,Week 0,Rep5,21.71,0
ID18,CTRL,Week 1,Rep5,22.98,1
ID18,CTRL,Week 2,Rep5,23.07,2
ID18,CTRL,Week 3,Rep5,23.38,3
ID18,CTRL,Week 4,Rep5,23.7,4
ID18,CTRL,Week 5,Rep5,24.83,5
ID18,CTRL,Week 6,Rep5,24.77,6
ID18,CTRL,Week 7,Rep5,25.42,7
ID18,CTRL,Week 8,Rep5,26.2,8
ID18,CTRL,Week 9,Rep5,26.7,9
ID18,CTRL,Week 10,Rep5,26.97,10
ID18,CTRL,Week 11,Rep5,27.2,11
ID18,CTRL,Week 12,Rep5,27.57,12
ID01,DSS-IL10-KO,Week 0,Rep1,29.54,0
ID01,DSS-IL10-KO,Week 1,Rep1,25.7,1
ID01,DSS-IL10-KO,Week 2,Rep1,20.76,2
ID01,DSS-IL10-KO,Week 3,Rep1,20.3,3
ID01,DSS-IL10-KO,Week 4,Rep1,22.6,4
ID01,DSS-IL10-KO,Week 5,Rep1,26.14,5
ID01,DSS-IL10-KO,Week 6,Rep1,27.76,6
ID01,DSS-IL10-KO,Week 7,Rep1,26.48,7
ID01,DSS-IL10-KO,Week 8,Rep1,26.72,8
ID01,DSS-IL10-KO,Week 9,Rep1,26.85,9
ID01,DSS-IL10-KO,Week 10,Rep1,27.74,10
ID01,DSS-IL10-KO,Week 11,Rep1,26.9,11
ID01,DSS-IL10-KO,Week 12,Rep1,28.2,12
ID02,DSS-IL10-KO,Week 0,Rep2,27.26,0
ID02,DSS-IL10-KO,Week 1,Rep2,25.74,1
ID02,DSS-IL10-KO,Week 2,Rep2,24.25,2
ID02,DSS-IL10-KO,Week 3,Rep2,22,3
ID02,DSS-IL10-KO,Week 4,Rep2,22.4,4
ID02,DSS-IL10-KO,Week 5,Rep2,26.13,5
ID02,DSS-IL10-KO,Week 6,Rep2,25.6,6
ID02,DSS-IL10-KO,Week 7,Rep2,23.65,7
ID02,DSS-IL10-KO,Week 8,Rep2,24.72,8
ID02,DSS-IL10-KO,Week 9,Rep2,25.02,9
ID02,DSS-IL10-KO,Week 10,Rep2,25.08,10
ID02,DSS-IL10-KO,Week 11,Rep2,25.5,11
ID02,DSS-IL10-KO,Week 12,Rep2,25.9,12
ID03,DSS-IL10-KO,Week 0,Rep3,29.58,0
ID03,DSS-IL10-KO,Week 1,Rep3,24.9,1
ID03,DSS-IL10-KO,Week 2,Rep3,20.46,2
ID03,DSS-IL10-KO,Week 3,Rep3,18.8,3
ID03,DSS-IL10-KO,Week 4,Rep3,20.4,4
ID03,DSS-IL10-KO,Week 5,Rep3,22.59,5
ID03,DSS-IL10-KO,Week 6,Rep3,22.73,6
ID03,DSS-IL10-KO,Week 7,Rep3,21.92,7
ID03,DSS-IL10-KO,Week 8,Rep3,23.25,8
ID03,DSS-IL10-KO,Week 9,Rep3,24.65,9
ID03,DSS-IL10-KO,Week 10,Rep3,26.83,10
ID03,DSS-IL10-KO,Week 11,Rep3,26.2,11
ID03,DSS-IL10-KO,Week 12,Rep3,27.1,12
ID11,DSS-IL10-KO,Week 0,Rep4,28.77,0
ID11,DSS-IL10-KO,Week 1,Rep4,25.48,1
ID11,DSS-IL10-KO,Week 2,Rep4,27.71,2
ID11,DSS-IL10-KO,Week 3,Rep4,26.4,3
ID11,DSS-IL10-KO,Week 4,Rep4,28.6,4
ID11,DSS-IL10-KO,Week 5,Rep4,27.81,5
ID11,DSS-IL10-KO,Week 6,Rep4,29.01,6
ID11,DSS-IL10-KO,Week 7,Rep4,27.57,7
ID11,DSS-IL10-KO,Week 8,Rep4,29.36,8
ID11,DSS-IL10-KO,Week 9,Rep4,28,9
ID11,DSS-IL10-KO,Week 10,Rep4,28.55,10
ID11,DSS-IL10-KO,Week 11,Rep4,27.4,11
ID11,DSS-IL10-KO,Week 12,Rep4,28,12
ID12,DSS-IL10-KO,Week 0,Rep5,28.93,0
ID12,DSS-IL10-KO,Week 1,Rep5,25.31,1
ID12,DSS-IL10-KO,Week 2,Rep5,29.15,2
ID12,DSS-IL10-KO,Week 3,Rep5,27.6,3
ID12,DSS-IL10-KO,Week 4,Rep5,29.8,4
ID12,DSS-IL10-KO,Week 5,Rep5,28.58,5
ID12,DSS-IL10-KO,Week 6,Rep5,29.51,6
ID12,DSS-IL10-KO,Week 7,Rep5,27.76,7
ID12,DSS-IL10-KO,Week 8,Rep5,29.81,8
ID12,DSS-IL10-KO,Week 9,Rep5,28.23,9
ID12,DSS-IL10-KO,Week 10,Rep5,29.47,10
ID12,DSS-IL10-KO,Week 11,Rep5,28.7,11
ID12,DSS-IL10-KO,Week 12,Rep5,29.1,12
ID13,DSS-IL10-KO,Week 0,Rep6,28.1,0
ID13,DSS-IL10-KO,Week 1,Rep6,25.84,1
ID13,DSS-IL10-KO,Week 2,Rep6,26.49,2
ID13,DSS-IL10-KO,Week 3,Rep6,25.3,3
ID13,DSS-IL10-KO,Week 4,Rep6,26.6,4
ID13,DSS-IL10-KO,Week 5,Rep6,26.11,5
ID13,DSS-IL10-KO,Week 6,Rep6,26.41,6
ID13,DSS-IL10-KO,Week 7,Rep6,25.97,7
ID13,DSS-IL10-KO,Week 8,Rep6,27.26,8
ID13,DSS-IL10-KO,Week 9,Rep6,26.4,9
ID13,DSS-IL10-KO,Week 10,Rep6,27.27,10
ID13,DSS-IL10-KO,Week 11,Rep6,26.3,11
ID13,DSS-IL10-KO,Week 12,Rep6,26.7,12
ID04,IL10-KO,Week 0,Rep1,28.14,0
ID04,IL10-KO,Week 1,Rep1,23.7,1
ID04,IL10-KO,Week 2,Rep1,24.18,2
ID04,IL10-KO,Week 3,Rep1,24.7,3
ID04,IL10-KO,Week 4,Rep1,24.9,4
ID04,IL10-KO,Week 5,Rep1,26,5
ID04,IL10-KO,Week 6,Rep1,25.76,6
ID04,IL10-KO,Week 7,Rep1,25.46,7
ID04,IL10-KO,Week 8,Rep1,25.58,8
ID04,IL10-KO,Week 9,Rep1,25.25,9
ID04,IL10-KO,Week 10,Rep1,25.48,10
ID04,IL10-KO,Week 11,Rep1,25.8,11
ID04,IL10-KO,Week 12,Rep1,25.9,12
ID05,IL10-KO,Week 0,Rep2,27.6,0
ID05,IL10-KO,Week 1,Rep2,25.28,1
ID05,IL10-KO,Week 2,Rep2,26.63,2
ID05,IL10-KO,Week 3,Rep2,26.6,3
ID05,IL10-KO,Week 4,Rep2,26.1,4
ID05,IL10-KO,Week 5,Rep2,27.33,5
ID05,IL10-KO,Week 6,Rep2,26.6,6
ID05,IL10-KO,Week 7,Rep2,26.46,7
ID05,IL10-KO,Week 8,Rep2,27.09,8
ID05,IL10-KO,Week 9,Rep2,27.43,9
ID05,IL10-KO,Week 10,Rep2,29.15,10
ID05,IL10-KO,Week 11,Rep2,29.11,11
ID05,IL10-KO,Week 12,Rep2,29.55,12
ID06,IL10-KO,Week 0,Rep3,28.84,0
ID06,IL10-KO,Week 1,Rep3,26.7,1
ID06,IL10-KO,Week 2,Rep3,28.01,2
ID06,IL10-KO,Week 3,Rep3,27.7,3
ID06,IL10-KO,Week 4,Rep3,27.9,4
ID06,IL10-KO,Week 5,Rep3,28.66,5
ID06,IL10-KO,Week 6,Rep3,28.76,6
ID06,IL10-KO,Week 7,Rep3,28.77,7
ID06,IL10-KO,Week 8,Rep3,28.96,8
ID06,IL10-KO,Week 9,Rep3,29.79,9
ID06,IL10-KO,Week 10,Rep3,29.12,10
ID06,IL10-KO,Week 11,Rep3,29.9,11
ID06,IL10-KO,Week 12,Rep3,30.4,12
ID07,IL10-KO,Week 0,Rep4,28.46,0
ID07,IL10-KO,Week 1,Rep4,26.17,1
ID07,IL10-KO,Week 2,Rep4,27.51,2
ID07,IL10-KO,Week 3,Rep4,28.4,3
ID07,IL10-KO,Week 4,Rep4,27.7,4
ID07,IL10-KO,Week 5,Rep4,28.13,5
ID07,IL10-KO,Week 6,Rep4,28.3,6
ID07,IL10-KO,Week 7,Rep4,27.45,7
ID07,IL10-KO,Week 8,Rep4,28.55,8
ID07,IL10-KO,Week 9,Rep4,28.4,9
ID07,IL10-KO,Week 10,Rep4,28.52,10
ID07,IL10-KO,Week 11,Rep4,29.4,11
ID07,IL10-KO,Week 12,Rep4,28.8,12
ID08,IL10-KO,Week 0,Rep5,27.36,0
ID08,IL10-KO,Week 1,Rep5,25.09,1
ID08,IL10-KO,Week 2,Rep5,25.51,2
ID08,IL10-KO,Week 3,Rep5,25.6,3
ID08,IL10-KO,Week 4,Rep5,25.9,4
ID08,IL10-KO,Week 5,Rep5,26.54,5
ID08,IL10-KO,Week 6,Rep5,26.4,6
ID08,IL10-KO,Week 7,Rep5,26.8,7
ID08,IL10-KO,Week 8,Rep5,26.87,8
ID08,IL10-KO,Week 9,Rep5,27.17,9
ID08,IL10-KO,Week 10,Rep5,26.93,10
ID08,IL10-KO,Week 11,Rep5,27.4,11
ID08,IL10-KO,Week 12,Rep5,27.4,12
ID09,IL10-KO,Week 0,Rep6,31.18,0
ID09,IL10-KO,Week 1,Rep6,29.84,1
ID09,IL10-KO,Week 2,Rep6,31.2,2
ID09,IL10-KO,Week 3,Rep6,30.6,3
ID09,IL10-KO,Week 4,Rep6,32.1,4
ID09,IL10-KO,Week 5,Rep6,31.18,5
ID09,IL10-KO,Week 6,Rep6,31.55,6
ID09,IL10-KO,Week 7,Rep6,31.09,7
ID09,IL10-KO,Week 8,Rep6,32.45,8
ID09,IL10-KO,Week 9,Rep6,31.95,9
ID09,IL10-KO,Week 10,Rep6,32.2,10
ID09,IL10-KO,Week 11,Rep6,32.4,11
ID09,IL10-KO,Week 12,Rep6,32.9,12
ID10,IL10-KO,Week 0,Rep7,31.28,0
ID10,IL10-KO,Week 1,Rep7,28.94,1
ID10,IL10-KO,Week 2,Rep7,29.94,2
ID10,IL10-KO,Week 3,Rep7,30,3
ID10,IL10-KO,Week 4,Rep7,31,4
ID10,IL10-KO,Week 5,Rep7,30.47,5
ID10,IL10-KO,Week 6,Rep7,30.72,6
ID10,IL10-KO,Week 7,Rep7,30.34,7
ID10,IL10-KO,Week 8,Rep7,31.91,8
ID10,IL10-KO,Week 9,Rep7,31.11,9
ID10,IL10-KO,Week 10,Rep7,31.74,10
ID10,IL10-KO,Week 11,Rep7,31.6,11
ID10,IL10-KO,Week 12,Rep7,31.8,12
