"Group","Week_num","n","mean","sd","sem","median","min","max","Mean_SEM"
"CTRL","0",5,22.53,0.5,0.22,22.76,21.71,22.92,"22.53 ± 0.22"
"CTRL","1",5,23.62,0.59,0.27,23.64,22.98,24.34,"23.62 ± 0.27"
"CTRL","6",5,26.28,0.87,0.39,26.58,24.77,26.91,"26.28 ± 0.39"
"CTRL","7",5,26.89,0.85,0.38,27.22,25.42,27.46,"26.89 ± 0.38"
"IL10-KO","0",5,28.08,0.61,0.27,28.14,27.36,28.84,"28.08 ± 0.27"
"IL10-KO","1",5,25.39,1.15,0.51,25.28,23.7,26.7,"25.39 ± 0.51"
"IL10-KO","6",5,27.16,1.3,0.58,26.6,25.76,28.76,"27.16 ± 0.58"
"IL10-KO","7",5,26.99,1.23,0.55,26.8,25.46,28.77,"26.99 ± 0.55"
"DSS-IL10-KO","0",5,28.82,0.94,0.42,28.93,27.26,29.58,"28.82 ± 0.42"
"DSS-IL10-KO","1",5,25.43,0.34,0.15,25.48,24.9,25.74,"25.43 ± 0.15"
"DSS-IL10-KO","6",5,26.92,2.79,1.25,27.76,22.73,29.51,"26.92 ± 1.25"
"DSS-IL10-KO","7",5,25.48,2.58,1.15,26.48,21.92,27.76,"25.48 ± 1.15"
