Group,Week_num,Replicate,FITC_Conc
CTRL,0,Rep1,1.006904673
CTRL,0,Rep2,2.023657871
CTRL,0,Rep3,1.939731307
CTRL,0,Rep4,1.002408607
CTRL,0,Rep5,2.402183803
CTRL,12,Rep1,0.713375796
CTRL,12,Rep2,0.70095809
CTRL,12,Rep3,0.79730236
CTRL,12,Rep4,1.447305037
CTRL,12,Rep5,1.113739763
IL10-KO,0,Rep1,0.475940695
IL10-KO,0,Rep2,0.92276401
IL10-KO,0,Rep3,1.097682385
IL10-KO,0,Rep4,0.59669218
IL10-KO,0,Rep5,0.58748595
IL10-KO,0,Rep6,0.298453139
IL10-KO,0,Rep7,0.646148905
IL10-KO,12,Rep1,0.801584328
IL10-KO,12,Rep2,0.473371514
IL10-KO,12,Rep3,1.111384681
IL10-KO,12,Rep4,-0.005780656
IL10-KO,12,Rep5,0.383878392
IL10-KO,12,Rep6,0.824492854
IL10-KO,12,Rep7,0.241288872
DSS-IL10-KO,0,Rep1,1.20665846
DSS-IL10-KO,0,Rep2,0.564577423
DSS-IL10-KO,0,Rep3,0.873307285
DSS-IL10-KO,0,Rep4,0.487502007
DSS-IL10-KO,0,Rep5,0.50826955
DSS-IL10-KO,0,Rep6,0.448107906
DSS-IL10-KO,1,Rep1,0.73392924
DSS-IL10-KO,1,Rep2,1.559706685
DSS-IL10-KO,1,Rep3,0.859604988
DSS-IL10-KO,1,Rep4,1.22250174
DSS-IL10-KO,1,Rep5,0.845902692
DSS-IL10-KO,1,Rep6,0.735856126
DSS-IL10-KO,7,Rep1,2.516512337
DSS-IL10-KO,7,Rep2,1.480490285
DSS-IL10-KO,7,Rep3,2.291923139
DSS-IL10-KO,7,Rep4,2.580313654
DSS-IL10-KO,7,Rep5,1.369801424
DSS-IL10-KO,7,Rep6,1.349890275
DSS-IL10-KO,12,Rep1,1.377508965
DSS-IL10-KO,12,Rep2,0.780602687
DSS-IL10-KO,12,Rep3,0.654926939
DSS-IL10-KO,12,Rep4,1.296151582
DSS-IL10-KO,12,Rep5,1.456511267
DSS-IL10-KO,12,Rep6,1.311566665
