Group,Parameter,Replicate,Value
CTRL,ALB,Rep1,4.4
CTRL,ALP,Rep1,24
CTRL,ALT,Rep1,339
CTRL,AMY,Rep1,2191
CTRL,TBIL,Rep1,0.2
CTRL,BUN,Rep1,15
CTRL,CA,Rep1,10.5
CTRL,PHOS,Rep1,8
CTRL,CRE,Rep1,0.2
CTRL,GLU,Rep1,239
CTRL,NA+,Rep1,154
CTRL,K+,Rep1,15
CTRL,TP,Rep1,5.6
CTRL,GLOB,Rep1,1.2
CTRL,ALB,Rep2,4.5
CTRL,ALP,Rep2,25
CTRL,ALT,Rep2,444
CTRL,AMY,Rep2,1135
CTRL,TBIL,Rep2,0.2
CTRL,BUN,Rep2,16
CTRL,CA,Rep2,10.5
CTRL,PHOS,Rep2,9.2
CTRL,CRE,Rep2,0.2
CTRL,GLU,Rep2,263
CTRL,NA+,Rep2,157
CTRL,K+,Rep2,14.5
CTRL,TP,Rep2,5.8
CTRL,GLOB,Rep2,1.3
CTRL,ALB,Rep3,5
CTRL,ALP,Rep3,0
CTRL,ALT,Rep3,640
CTRL,AMY,Rep3,889
CTRL,TBIL,Rep3,0
CTRL,BUN,Rep3,18
CTRL,CA,Rep3,9.1
CTRL,PHOS,Rep3,8.9
CTRL,CRE,Rep3,0.2
CTRL,GLU,Rep3,221
CTRL,NA+,Rep3,153
CTRL,K+,Rep3,10.6
CTRL,TP,Rep3,6.5
CTRL,GLOB,Rep3,1.5
CTRL,ALB,Rep4,4.8
CTRL,ALP,Rep4,8
CTRL,ALT,Rep4,430
CTRL,AMY,Rep4,987
CTRL,TBIL,Rep4,0.1
CTRL,BUN,Rep4,20
CTRL,CA,Rep4,10.2
CTRL,PHOS,Rep4,9.9
CTRL,CRE,Rep4,0
CTRL,GLU,Rep4,214
CTRL,NA+,Rep4,153
CTRL,K+,Rep4,13.9
CTRL,TP,Rep4,6
CTRL,GLOB,Rep4,1.2
IL10-KO,ALB,Rep1,4.7
IL10-KO,ALP,Rep1,0
IL10-KO,ALT,Rep1,317
IL10-KO,AMY,Rep1,1128
IL10-KO,TBIL,Rep1,0
IL10-KO,BUN,Rep1,26
IL10-KO,CA,Rep1,11.2
IL10-KO,PHOS,Rep1,13.4
IL10-KO,CRE,Rep1,0.3
IL10-KO,GLU,Rep1,274
IL10-KO,NA+,Rep1,155
IL10-KO,K+,Rep1,13.6
IL10-KO,TP,Rep1,6.1
IL10-KO,GLOB,Rep1,1.4
IL10-KO,ALB,Rep2,5
IL10-KO,ALP,Rep2,0
IL10-KO,ALT,Rep2,35
IL10-KO,AMY,Rep2,818
IL10-KO,TBIL,Rep2,0
IL10-KO,BUN,Rep2,28
IL10-KO,CA,Rep2,9.3
IL10-KO,PHOS,Rep2,13.1
IL10-KO,CRE,Rep2,0
IL10-KO,GLU,Rep2,410
