Group,Gene,Relative_expression,Tissue
CTRL,Tbc1d4,199.4661324,Large_Intestine
CTRL,Tbc1d4,401.7070581,Large_Intestine
CTRL,Tbc1d4,455.0874528,Large_Intestine
CTRL,Tbc1d4,369.6458741,Large_Intestine
CTRL,Mafa,31.55944654,Large_Intestine
CTRL,Mafa,97.00586026,Large_Intestine
CTRL,Mafa,142.0248924,Large_Intestine
CTRL,Mafa,78.24897777,Large_Intestine
CTRL,Ins1,NA,Large_Intestine
CTRL,Ins1,NA,Large_Intestine
CTRL,Ins1,0.450625231,Large_Intestine
CTRL,Ins1,NA,Large_Intestine
CTRL,Ins2,0.435275282,Large_Intestine
CTRL,Ins2,0.952637998,Large_Intestine
CTRL,Ins2,1.049716684,Large_Intestine
CTRL,Ins2,NA,Large_Intestine
CTRL,SRR,195.3611787,Large_Intestine
CTRL,SRR,369.6458741,Large_Intestine
CTRL,SRR,430.5389646,Large_Intestine
CTRL,SRR,337.7940252,Large_Intestine
CTRL,Glp1r,3.530811985,Large_Intestine
CTRL,Glp1r,14.52030649,Large_Intestine
CTRL,Glp1r,11.55143356,Large_Intestine
CTRL,Glp1r,10.85283462,Large_Intestine
CTRL,Zfand6,1710.260059,Large_Intestine
CTRL,Zfand6,3640.699622,Large_Intestine
CTRL,Zfand6,3420.520118,Large_Intestine
CTRL,Zfand6,2683.685691,Large_Intestine
CTRL,Ghrhr,13.36140671,Large_Intestine
CTRL,Ghrhr,21.25897303,Large_Intestine
CTRL,Ghrhr,32,Large_Intestine
CTRL,Ghrhr,9.447941291,Large_Intestine
CTRL,Insr,45.88656794,Large_Intestine
CTRL,Insr,149.0858991,Large_Intestine
CTRL,Insr,182.278425,Large_Intestine
CTRL,Insr,136.2393834,Large_Intestine
CTRL,Glut1,814.6293594,Large_Intestine
CTRL,Glut1,1937.52606,Large_Intestine
CTRL,Glut1,1910.851567,Large_Intestine
CTRL,Glut1,1573.760186,Large_Intestine
CTRL,Tcf19,48.50293013,Large_Intestine
CTRL,Tcf19,157.5864849,Large_Intestine
CTRL,Tcf19,100.4267645,Large_Intestine
CTRL,Tcf19,128,Large_Intestine
IL10-KO,Tbc1d4,NA,Large_Intestine
IL10-KO,Tbc1d4,34.53530357,Large_Intestine
IL10-KO,Tbc1d4,50.21338227,Large_Intestine
IL10-KO,Tbc1d4,53.07645093,Large_Intestine
