"Gene","Group","n","Shapiro_W","Shapiro_p","Normal","Test_Used"
"Mafa","CTRL",4,0.9347,0.6224,TRUE,"Unpaired t-test (Welch, uniform across panel)"
"Mafa","IL10-KO",4,0.863,0.2711,TRUE,"Unpaired t-test (Welch, uniform across panel)"
"Mafa","DSS-IL10-KO",4,0.9646,0.8079,TRUE,"Unpaired t-test (Welch, uniform across panel)"
"Glp1r","CTRL",4,0.8029,0.1075,TRUE,"Unpaired t-test (Welch, uniform across panel)"
"Glp1r","IL10-KO",4,0.8827,0.3502,TRUE,"Unpaired t-test (Welch, uniform across panel)"
"Glp1r","DSS-IL10-KO",4,0.8351,0.1814,TRUE,"Unpaired t-test (Welch, uniform across panel)"
"Insr","CTRL",4,0.8048,0.1112,TRUE,"Unpaired t-test (Welch, uniform across panel)"
"Insr","IL10-KO",4,0.8463,0.2143,TRUE,"Unpaired t-test (Welch, uniform across panel)"
"Insr","DSS-IL10-KO",4,0.9762,0.8793,TRUE,"Unpaired t-test (Welch, uniform across panel)"
"Zfand6","CTRL",4,0.8884,0.3756,TRUE,"Unpaired t-test (Welch, uniform across panel)"
"Zfand6","IL10-KO",4,0.9067,0.465,TRUE,"Unpaired t-test (Welch, uniform across panel)"
"Zfand6","DSS-IL10-KO",4,0.9385,0.6451,TRUE,"Unpaired t-test (Welch, uniform across panel)"
"Tcf19","CTRL",4,0.9135,0.5013,TRUE,"Unpaired t-test (Welch, uniform across panel)"
"Tcf19","IL10-KO",4,0.7899,0.0853,TRUE,"Unpaired t-test (Welch, uniform across panel)"
"Tcf19","DSS-IL10-KO",4,0.8718,0.3049,TRUE,"Unpaired t-test (Welch, uniform across panel)"
