"Gene",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Mafa","Log2_Fold_Change","CTRL","IL10-KO",4,4,16,0.029,0.0363,"*"
"Mafa","Log2_Fold_Change","CTRL","DSS-IL10-KO",4,4,16,0.029,0.0363,"*"
"Mafa","Log2_Fold_Change","IL10-KO","DSS-IL10-KO",4,4,0,0.029,0.0363,"*"
"Glp1r","Log2_Fold_Change","CTRL","IL10-KO",4,4,16,0.029,0.0363,"*"
"Glp1r","Log2_Fold_Change","CTRL","DSS-IL10-KO",4,4,12,0.343,0.343,"ns"
"Glp1r","Log2_Fold_Change","IL10-KO","DSS-IL10-KO",4,4,0,0.029,0.0363,"*"
"Insr","Log2_Fold_Change","CTRL","IL10-KO",4,4,16,0.029,0.0363,"*"
"Insr","Log2_Fold_Change","CTRL","DSS-IL10-KO",4,4,14,0.114,0.132,"ns"
"Insr","Log2_Fold_Change","IL10-KO","DSS-IL10-KO",4,4,0,0.029,0.0363,"*"
"Zfand6","Log2_Fold_Change","CTRL","IL10-KO",4,4,16,0.029,0.0363,"*"
"Zfand6","Log2_Fold_Change","CTRL","DSS-IL10-KO",4,4,16,0.029,0.0363,"*"
"Zfand6","Log2_Fold_Change","IL10-KO","DSS-IL10-KO",4,4,0,0.029,0.0363,"*"
"Tcf19","Log2_Fold_Change","CTRL","IL10-KO",4,4,16,0.029,0.0363,"*"
"Tcf19","Log2_Fold_Change","CTRL","DSS-IL10-KO",4,4,12,0.343,0.343,"ns"
"Tcf19","Log2_Fold_Change","IL10-KO","DSS-IL10-KO",4,4,0,0.029,0.0363,"*"
