"Gene","group1","group2","Test_Method","n1","n2","p","p.signif","p.adj","p.adj.signif"
"Mafa","CTRL","IL10-KO","unpaired t-test (Welch)",4,4,5.98e-05,"***",0.000179,"***"
"Mafa","CTRL","DSS-IL10-KO","unpaired t-test (Welch)",4,4,0.00074,"***",0.001,"**"
"Mafa","IL10-KO","DSS-IL10-KO","unpaired t-test (Welch)",4,4,0.001,"**",0.001,"**"
"Glp1r","CTRL","IL10-KO","unpaired t-test (Welch)",4,4,0.002,"**",0.003,"**"
"Glp1r","CTRL","DSS-IL10-KO","unpaired t-test (Welch)",4,4,0.227,"ns",0.227,"ns"
"Glp1r","IL10-KO","DSS-IL10-KO","unpaired t-test (Welch)",4,4,0.000377,"***",0.00113,"**"
"Insr","CTRL","IL10-KO","unpaired t-test (Welch)",4,4,0.009,"**",0.027,"*"
"Insr","CTRL","DSS-IL10-KO","unpaired t-test (Welch)",4,4,0.205,"ns",0.205,"ns"
"Insr","IL10-KO","DSS-IL10-KO","unpaired t-test (Welch)",4,4,0.018,"*",0.027,"*"
"Zfand6","CTRL","IL10-KO","unpaired t-test (Welch)",4,4,8.26e-05,"***",0.000248,"***"
"Zfand6","CTRL","DSS-IL10-KO","unpaired t-test (Welch)",4,4,0.005,"**",0.0075,"**"
"Zfand6","IL10-KO","DSS-IL10-KO","unpaired t-test (Welch)",4,4,0.016,"*",0.016,"*"
"Tcf19","CTRL","IL10-KO","unpaired t-test (Welch)",4,4,0.009,"**",0.027,"*"
"Tcf19","CTRL","DSS-IL10-KO","unpaired t-test (Welch)",4,4,0.215,"ns",0.215,"ns"
"Tcf19","IL10-KO","DSS-IL10-KO","unpaired t-test (Welch)",4,4,0.02,"*",0.03,"*"
