"Gene","Group","n","mean_Log2FC","sd_Log2FC","sem_Log2FC","mean_FC"
"Mafa","CTRL",4,-0.191,0.921,0.46,0.88
"Mafa","IL10-KO",4,-7.374,0.511,0.256,0.01
"Mafa","DSS-IL10-KO",4,-4.174,0.856,0.428,0.06
"Glp1r","CTRL",4,-0.176,0.913,0.456,0.89
"Glp1r","IL10-KO",4,-3.721,0.363,0.182,0.08
"Glp1r","DSS-IL10-KO",4,-0.916,0.569,0.284,0.53
"Insr","CTRL",4,-0.169,0.894,0.447,0.89
"Insr","IL10-KO",4,-5.397,2.07,1.035,0.02
"Insr","DSS-IL10-KO",4,-1.074,0.907,0.454,0.48
"Zfand6","CTRL",4,-0.059,0.495,0.248,0.96
"Zfand6","IL10-KO",4,-3.326,0.329,0.164,0.1
"Zfand6","DSS-IL10-KO",4,-1.924,0.656,0.328,0.26
"Tcf19","CTRL",4,-0.126,0.741,0.37,0.92
"Tcf19","IL10-KO",4,-2.183,0.191,0.096,0.22
"Tcf19","DSS-IL10-KO",4,-0.811,0.652,0.326,0.57
