"Gene1","Gene2","N_pair","Correlation","P_value","Signif"
"Glp1r","Tcf19",12,0.976631831719582,5.27695995788946e-08,"***"
"Glp1r","Insr",12,0.961357286692947,6.35931670434076e-07,"***"
"Mafa","Zfand6",12,0.947555491246567,2.86026609308543e-06,"***"
"Glp1r","Zfand6",12,0.917858347377086,2.5625023799547e-05,"***"
"Insr","Tcf19",12,0.91662010805912,2.7556776997395e-05,"***"
"Insr","Zfand6",12,0.90312414587559,5.70013523402135e-05,"***"
"Tcf19","Zfand6",12,0.869045997511971,0.000242450181138665,"***"
"Insr","Mafa",12,0.843728067966512,0.000561120032067208,"***"
"Glp1r","Mafa",12,0.815815380888725,0.00121430156878022,"**"
"Mafa","Tcf19",12,0.725088636631096,0.00762330429251312,"**"
