ID,Group,Week,FBG,Week_num,Replicate
ID14,CTRL,Week 0,197,0,Rep1
ID14,CTRL,Week 1,192,1,Rep1
ID14,CTRL,Week 2,151,2,Rep1
ID14,CTRL,Week 3,180,3,Rep1
ID14,CTRL,Week 4,180,4,Rep1
ID14,CTRL,Week 5,184,5,Rep1
ID14,CTRL,Week 6,144,6,Rep1
ID14,CTRL,Week 7,109,7,Rep1
ID14,CTRL,Week 8,143,8,Rep1
ID14,CTRL,Week 9,156,9,Rep1
ID14,CTRL,Week 10,132,10,Rep1
ID14,CTRL,Week 11,122,11,Rep1
ID14,CTRL,Week 12,158,12,Rep1
ID15,CTRL,Week 0,191,0,Rep2
ID15,CTRL,Week 1,166,1,Rep2
ID15,CTRL,Week 2,164,2,Rep2
ID15,CTRL,Week 3,147,3,Rep2
ID15,CTRL,Week 4,143,4,Rep2
ID15,CTRL,Week 5,148,5,Rep2
ID15,CTRL,Week 6,108,6,Rep2
ID15,CTRL,Week 7,115,7,Rep2
ID15,CTRL,Week 8,135,8,Rep2
ID15,CTRL,Week 9,144,9,Rep2
ID15,CTRL,Week 10,202,10,Rep2
ID15,CTRL,Week 11,99,11,Rep2
ID15,CTRL,Week 12,164,12,Rep2
ID16,CTRL,Week 0,154,0,Rep3
ID16,CTRL,Week 1,223,1,Rep3
ID16,CTRL,Week 2,162,2,Rep3
ID16,CTRL,Week 3,182,3,Rep3
ID16,CTRL,Week 4,155,4,Rep3
ID16,CTRL,Week 5,154,5,Rep3
ID16,CTRL,Week 6,119,6,Rep3
ID16,CTRL,Week 7,111,7,Rep3
ID16,CTRL,Week 8,145,8,Rep3
ID16,CTRL,Week 9,151,9,Rep3
ID16,CTRL,Week 10,146,10,Rep3
ID16,CTRL,Week 11,141,11,Rep3
ID16,CTRL,Week 12,146,12,Rep3
ID17,CTRL,Week 0,125,0,Rep4
ID17,CTRL,Week 1,200,1,Rep4
ID17,CTRL,Week 2,159,2,Rep4
ID17,CTRL,Week 3,105,3,Rep4
ID17,CTRL,Week 4,150,4,Rep4
ID17,CTRL,Week 5,199,5,Rep4
ID17,CTRL,Week 6,114,6,Rep4
ID17,CTRL,Week 7,109,7,Rep4
ID17,CTRL,Week 8,107,8,Rep4
ID17,CTRL,Week 9,109,9,Rep4
ID17,CTRL,Week 10,132,10,Rep4
ID17,CTRL,Week 11,147,11,Rep4
ID17,CTRL,Week 12,208,12,Rep4
ID18,CTRL,Week 0,204,0,Rep5
ID18,CTRL,Week 1,219,1,Rep5
ID18,CTRL,Week 2,159,2,Rep5
ID18,CTRL,Week 3,122,3,Rep5
ID18,CTRL,Week 4,158,4,Rep5
ID18,CTRL,Week 5,154,5,Rep5
ID18,CTRL,Week 6,124,6,Rep5
ID18,CTRL,Week 7,147,7,Rep5
ID18,CTRL,Week 8,127,8,Rep5
ID18,CTRL,Week 9,144,9,Rep5
ID18,CTRL,Week 10,146,10,Rep5
ID18,CTRL,Week 11,109,11,Rep5
ID18,CTRL,Week 12,156,12,Rep5
ID01,DSS-IL10-KO,Week 0,179,0,Rep1
ID01,DSS-IL10-KO,Week 1,141,1,Rep1
ID01,DSS-IL10-KO,Week 2,160,2,Rep1
ID01,DSS-IL10-KO,Week 3,122,3,Rep1
ID01,DSS-IL10-KO,Week 4,108,4,Rep1
ID01,DSS-IL10-KO,Week 5,223,5,Rep1
ID01,DSS-IL10-KO,Week 6,157,6,Rep1
ID01,DSS-IL10-KO,Week 7,132,7,Rep1
ID01,DSS-IL10-KO,Week 8,213,8,Rep1
ID01,DSS-IL10-KO,Week 9,143,9,Rep1
ID01,DSS-IL10-KO,Week 10,281,10,Rep1
ID01,DSS-IL10-KO,Week 11,111,11,Rep1
ID01,DSS-IL10-KO,Week 12,176,12,Rep1
ID02,DSS-IL10-KO,Week 0,148,0,Rep2
