"ID","Group","Delta_0_6","Pct_0_6","Delta_6_12","Pct_6_12","Delta_0_12","Pct_0_12"
"ID14","CTRL",-53,-26.9,14,9.72,-39,-19.8
"ID15","CTRL",-83,-43.46,56,51.85,-27,-14.14
"ID16","CTRL",-35,-22.73,27,22.69,-8,-5.19
"ID17","CTRL",-11,-8.8,94,82.46,83,66.4
"ID18","CTRL",-80,-39.22,32,25.81,-48,-23.53
"ID01","DSS-IL10-KO",-22,-12.29,19,12.1,-3,-1.68
"ID02","DSS-IL10-KO",36,24.32,16,8.7,52,35.14
"ID03","DSS-IL10-KO",-3,-2.31,49,38.58,46,35.38
"ID11","DSS-IL10-KO",-106,-46.9,20,16.67,-86,-38.05
"ID12","DSS-IL10-KO",-16,-10.88,49,37.4,33,22.45
"ID04","IL10-KO",16,13.56,-14,-10.45,2,1.69
"ID05","IL10-KO",-4,-2.02,-39,-20.1,-43,-21.72
"ID06","IL10-KO",-13,-8.18,-46,-31.51,-59,-37.11
"ID07","IL10-KO",-12,-6.28,-45,-25.14,-57,-29.84
"ID08","IL10-KO",8,6.11,-54,-38.85,-46,-35.11
