"Replicate","Group","Delta_0_6","Pct_0_6","Delta_6_12","Pct_6_12","Delta_0_12","Pct_0_12"
"Rep1","CTRL",0.121943571,39.71,0.591652143,137.89,0.713595714,232.35
"Rep2","CTRL",0.415511429,82.88,0.162591429,17.73,0.578102858,115.32
"Rep3","CTRL",0.338732143,122.95,0.266469285,43.38,0.605201428,219.67
"Rep4","CTRL",0.049680714,19.64,0.75876,250.75,0.808440714,319.64
"Rep5","CTRL",0.162591428,54.55,1.603332143,348.04,1.765923571,592.42
"Rep1","IL10-KO",-0.032744108,-11.33,0.009597411,3.74,-0.023146697,-8.01
"Rep2","IL10-KO",-0.111640468,-32.52,-0.024699219,-10.66,-0.136339687,-39.72
"Rep3","IL10-KO",-0.227091674,-40.23,0.00352846000000001,1.05,-0.223563214,-39.6
"Rep4","IL10-KO",-0.263787656,-55.62,0.017642299,8.38,-0.246145357,-51.9
"Rep5","IL10-KO",-0.091598817,-21.35,-0.053914866,-15.98,-0.145513683,-33.91
"Rep1","DSS-IL10-KO",-0.323348058,-56.82,-0.00705691999999999,-2.87,-0.330404978,-58.06
"Rep2","DSS-IL10-KO",-0.214389219,-45.21,-0.028227678,-10.86,-0.242616897,-51.16
"Rep3","DSS-IL10-KO",-0.219329062,-35.97,-0.189407724,-48.52,-0.408736786,-67.04
"Rep4","DSS-IL10-KO",-0.220599308,-50.35,0.02371125,10.9,-0.196888058,-44.94
"Rep5","DSS-IL10-KO",-0.500335602,-64.41,-0.02371125,-8.58,-0.524046852,-67.46
