"Group","Replicate","FBG","FCP","FCP_FBG_Ratio","Sample_ID"
"CTRL","Rep1",158,1.020712857,0.0064602079556962,"CTRL_Rep1"
"CTRL","Rep2",164,1.079426429,0.0065818684695122,"CTRL_Rep2"
"CTRL","Rep3",146,0.880703571,0.00603221623972603,"CTRL_Rep3"
"CTRL","Rep4",208,1.061360714,0.00510269574038462,"CTRL_Rep4"
"CTRL","Rep5",156,2.064007857,0.0132308195961538,"CTRL_Rep5"
"IL10-KO","Rep1",120,0.265904732,0.00221587276666667,"IL10-KO_Rep1"
"IL10-KO","Rep2",155,0.206908884,0.00133489602580645,"IL10-KO_Rep2"
"IL10-KO","Rep3",100,0.340990357,0.00340990357,"IL10-KO_Rep3"
"IL10-KO","Rep4",134,0.228079643,0.0017020868880597,"IL10-KO_Rep4"
"IL10-KO","Rep5",85,0.283547031,0.00333584742352941,"IL10-KO_Rep5"
"DSS-IL10-KO","Rep1",176,0.238665022,0.00135605126136364,"DSS-IL10-KO_Rep1"
"DSS-IL10-KO","Rep2",200,0.231608103,0.001158040515,"DSS-IL10-KO_Rep2"
"DSS-IL10-KO","Rep3",176,0.200981071,0.00114193790340909,"DSS-IL10-KO_Rep3"
"DSS-IL10-KO","Rep4",140,0.241205513,0.00172289652142857,"DSS-IL10-KO_Rep4"
"DSS-IL10-KO","Rep5",180,0.252778862,0.00140432701111111,"DSS-IL10-KO_Rep5"
