Organ,Gene,Group,Relative_expression,Fold_Change,Log2_Fold_Change
Pancreas,Tbc1d4,IL10-KO,22.35723579,0.9357572998066945,-0.09579369730971807
Pancreas,Tbc1d4,IL10-KO,46.25625799,1.9360457385006735,0.9531130362533314
Pancreas,Tbc1d4,IL10-KO,47.26368644,1.9782114397964528,0.9841966358255589
Pancreas,Tbc1d4,IL10-KO,39.20205758,1.6407936961659322,0.7143938541905084
Pancreas,Mafa,IL10-KO,9.857809623,1.0993742702036586,0.13668261999498546
Pancreas,Mafa,IL10-KO,7.248099208,0.8083310676407366,-0.3069817971839325
Pancreas,Mafa,IL10-KO,4.278637539,0.4771672614704646,-1.067433032018634
Pancreas,Mafa,IL10-KO,7.305702603,0.814755181390268,-0.29556147315546444
Pancreas,Ins1,IL10-KO,,,
Pancreas,Ins1,IL10-KO,,,
Pancreas,Ins1,IL10-KO,,,
Pancreas,Ins1,IL10-KO,,,
Pancreas,Ins2,IL10-KO,1135.654903,0.2759047888872433,-1.8577575970801274
Pancreas,Ins2,IL10-KO,1572.832221,0.3821160290363832,-1.3879173176256767
Pancreas,Ins2,IL10-KO,1612.223088,0.39168595103910664,-1.3522307121429926
Pancreas,Ins2,IL10-KO,1180.606467,0.2868256696431919,-1.8017539501720976
Pancreas,Srr,IL10-KO,20.82230622,0.6777952908976053,-0.5610784814090262
Pancreas,Srr,IL10-KO,15.01772,0.4888478628866685,-1.0325425491564053
Pancreas,Srr,IL10-KO,20.20070222,0.6575612082963977,-0.6048029026943331
Pancreas,Srr,IL10-KO,29.32385361,0.9545325900902413,-0.06713363926033225
Pancreas,Glp1r,IL10-KO,33.60715064,,
Pancreas,Glp1r,IL10-KO,26.95046831,,
Pancreas,Glp1r,IL10-KO,15.62669545,,
Pancreas,Glp1r,IL10-KO,28.09670836,,
Pancreas,Zfand6,IL10-KO,181.3845366,1.218395179460038,0.2849821389742387
Pancreas,Zfand6,IL10-KO,253.1352208,1.7003584680121646,0.7658389260724094
Pancreas,Zfand6,IL10-KO,264.9950479,1.7800232312755038,0.8318960700833886
Pancreas,Zfand6,IL10-KO,195.5375443,1.313463682430433,0.39337631017700814
Pancreas,Ghrhr,IL10-KO,,,
Pancreas,Ghrhr,IL10-KO,2.557984131,0.3489549184172171,-1.518887428586925
Pancreas,Ghrhr,IL10-KO,4.371477474,0.5963479393072013,-0.7457737778791046
Pancreas,Ghrhr,IL10-KO,2.897251557,0.39523708081482634,-1.3392097891639265
Pancreas,Insr,IL10-KO,10.45653715,0.5198299490825752,-0.9438883403611508
Pancreas,Insr,IL10-KO,16.20163893,0.8054384562709814,-0.3121537383884836
Pancreas,Insr,IL10-KO,23.07182508,1.1469787257991504,0.19783863244466846
Pancreas,Insr,IL10-KO,19.77808982,0.9832359677583318,-0.0243904029792062
Pancreas,Glut1,IL10-KO,15.99451314,0.5926120923490179,-0.7548400298538274
Pancreas,Glut1,IL10-KO,9.212848744,0.34134490514894544,-1.550697876248432
Pancreas,Glut1,IL10-KO,33.83944587,1.2537840098927844,0.3262888356236408
Pancreas,Glut1,IL10-KO,11.31207232,0.41912315727783445,-1.2545538598255925
Pancreas,Tcf19,IL10-KO,2.771928396,,
Pancreas,Tcf19,IL10-KO,1.364244481,,
Pancreas,Tcf19,IL10-KO,1.071940621,,
Pancreas,Tcf19,IL10-KO,2.223189745,,
Pancreas,Tbc1d4,DSS-IL10-KO,33.64482948,1.408197108192751,0.4938492850473404
Pancreas,Tbc1d4,DSS-IL10-KO,22.64943073,0.9479870562327495,-0.07706073411436429
Pancreas,Tbc1d4,DSS-IL10-KO,30.74086205,1.2866521754225364,0.36362209814750424
Pancreas,Tbc1d4,DSS-IL10-KO,36.77035598,1.5390153482285986,0.6220076193872881
Pancreas,Mafa,DSS-IL10-KO,8.389992934,0.9356786864000187,-0.09591490388355892
Pancreas,Mafa,DSS-IL10-KO,6.108896415,0.6812835502849285,-0.5536727218346905
Pancreas,Mafa,DSS-IL10-KO,2.337843599,0.26072375089332966,-1.9394060822660597
Pancreas,Mafa,DSS-IL10-KO,8.899661228,0.9925185149411255,-0.010834079619576976
Pancreas,Ins1,DSS-IL10-KO,5.325584478,2.3944004078451133,1.2596644296870714
Pancreas,Ins1,DSS-IL10-KO,1.967656638,0.8846649369640034,-0.17679695077705976
Pancreas,Ins1,DSS-IL10-KO,,,
Pancreas,Ins1,DSS-IL10-KO,2.879486876,1.2946268299302812,0.3725363078014584
Pancreas,Ins2,DSS-IL10-KO,40050.99252,9.730298004054106,3.2824839902466096
Pancreas,Ins2,DSS-IL10-KO,39789.24479,9.666706985341825,3.2730245117269057
Pancreas,Ins2,DSS-IL10-KO,34143.41376,8.295065112172194,3.052253305670499
Pancreas,Ins2,DSS-IL10-KO,29872.38671,7.257428754992696,2.8594585042169753
Pancreas,Srr,DSS-IL10-KO,22.88488947,0.7449352704543115,-0.42481302374436214
