Organ,Gene,Group,Relative_expression
Pancreas,Ghrhr,DSS-IL10-KO,0.725309706
Pancreas,Ghrhr,DSS-IL10-KO,0.731540309
Pancreas,Ghrhr,DSS-IL10-KO,1.974157319
Pancreas,Ghrhr,IL10-KO,2.557984131
Pancreas,Ghrhr,IL10-KO,2.897251557
Pancreas,Ghrhr,CTRL,3.564760059
Pancreas,Ghrhr,IL10-KO,4.371477474
Pancreas,Ghrhr,CTRL,7.039997533
Pancreas,Ghrhr,CTRL,7.811548678
Pancreas,Ghrhr,CTRL,10.90535101
Pancreas,Ghrhr,IL10-KO,ND
Pancreas,Ghrhr,DSS-IL10-KO,ND
Pancreas,Glp1r,IL10-KO,15.62669545
Pancreas,Glp1r,IL10-KO,26.95046831
Pancreas,Glp1r,IL10-KO,28.09670836
Pancreas,Glp1r,DSS-IL10-KO,33.49380935
Pancreas,Glp1r,IL10-KO,33.60715064
Pancreas,Glp1r,DSS-IL10-KO,37.68874536
Pancreas,Glp1r,DSS-IL10-KO,39.04258751
Pancreas,Glp1r,DSS-IL10-KO,43.01162087
Pancreas,Glp1r,CTRL,ND
Pancreas,Glp1r,CTRL,ND
Pancreas,Glp1r,CTRL,ND
Pancreas,Glp1r,CTRL,ND
Pancreas,Glut1,IL10-KO,9.212848744
Pancreas,Glut1,IL10-KO,11.31207232
Pancreas,Glut1,IL10-KO,15.99451314
Pancreas,Glut1,DSS-IL10-KO,17.91113353
Pancreas,Glut1,DSS-IL10-KO,20.96858059
Pancreas,Glut1,DSS-IL10-KO,22.89125088
Pancreas,Glut1,DSS-IL10-KO,23.09539242
Pancreas,Glut1,CTRL,23.52808216
Pancreas,Glut1,CTRL,30.45162344
Pancreas,Glut1,IL10-KO,33.83944587
Pancreas,Glut1,CTRL,ND
Pancreas,Glut1,CTRL,ND
Pancreas,Ins1,CTRL,0.792137569
Pancreas,Ins1,CTRL,1.690320783
Pancreas,Ins1,DSS-IL10-KO,1.967656638
Pancreas,Ins1,DSS-IL10-KO,2.879486876
Pancreas,Ins1,CTRL,4.190090392
Pancreas,Ins1,DSS-IL10-KO,5.325584478
Pancreas,Ins1,IL10-KO,ND
Pancreas,Ins1,IL10-KO,ND
Pancreas,Ins1,IL10-KO,ND
Pancreas,Ins1,IL10-KO,ND
Pancreas,Ins1,DSS-IL10-KO,ND
Pancreas,Ins1,CTRL,ND
Pancreas,Ins2,IL10-KO,1135.654903
Pancreas,Ins2,IL10-KO,1180.606467
Pancreas,Ins2,IL10-KO,1572.832221
Pancreas,Ins2,IL10-KO,1612.223088
Pancreas,Ins2,CTRL,3738.947775
Pancreas,Ins2,CTRL,3873.899683
Pancreas,Ins2,CTRL,4359.33218
Pancreas,Ins2,CTRL,4492.266776
Pancreas,Ins2,DSS-IL10-KO,29872.38671
Pancreas,Ins2,DSS-IL10-KO,34143.41376
Pancreas,Ins2,DSS-IL10-KO,39789.24479
Pancreas,Ins2,DSS-IL10-KO,40050.99252
Pancreas,Insr,IL10-KO,10.45653715
Pancreas,Insr,DSS-IL10-KO,15.99349848
Pancreas,Insr,IL10-KO,16.20163893
Pancreas,Insr,CTRL,17.49424449
Pancreas,Insr,CTRL,18.09702215
Pancreas,Insr,CTRL,18.14689749
Pancreas,Insr,IL10-KO,19.77808982
Pancreas,Insr,DSS-IL10-KO,23.01336808
Pancreas,Insr,IL10-KO,23.07182508
Pancreas,Insr,CTRL,26.72304953
Pancreas,Insr,DSS-IL10-KO,42.28705204
Pancreas,Insr,DSS-IL10-KO,ND
Pancreas,Mafa,DSS-IL10-KO,2.337843599
Pancreas,Mafa,IL10-KO,4.278637539
Pancreas,Mafa,CTRL,4.778918759
Pancreas,Mafa,DSS-IL10-KO,6.108896415
Pancreas,Mafa,CTRL,7.060480874
Pancreas,Mafa,IL10-KO,7.248099208
Pancreas,Mafa,IL10-KO,7.305702603
Pancreas,Mafa,CTRL,7.985875318
Pancreas,Mafa,DSS-IL10-KO,8.389992934
Pancreas,Mafa,DSS-IL10-KO,8.899661228
Pancreas,Mafa,IL10-KO,9.857809623
Pancreas,Mafa,CTRL,16.04170826
Pancreas,Srr,DSS-IL10-KO,14.61293035
Pancreas,Srr,IL10-KO,15.01772
Pancreas,Srr,DSS-IL10-KO,15.43367988
Pancreas,Srr,DSS-IL10-KO,19.8662859
Pancreas,Srr,IL10-KO,20.20070222
Pancreas,Srr,IL10-KO,20.82230622
Pancreas,Srr,DSS-IL10-KO,22.88488947
Pancreas,Srr,CTRL,24.34597825
Pancreas,Srr,IL10-KO,29.32385361
Pancreas,Srr,CTRL,30.87906018
Pancreas,Srr,CTRL,31.27924519
Pancreas,Srr,CTRL,36.37828284
Pancreas,Tbc1d4,CTRL,18.20425385
Pancreas,Tbc1d4,CTRL,21.58173121
Pancreas,Tbc1d4,IL10-KO,22.35723579
Pancreas,Tbc1d4,DSS-IL10-KO,22.64943073
Pancreas,Tbc1d4,CTRL,27.03836656
Pancreas,Tbc1d4,CTRL,28.74417152
Pancreas,Tbc1d4,DSS-IL10-KO,30.74086205
Pancreas,Tbc1d4,DSS-IL10-KO,33.64482948
Pancreas,Tbc1d4,DSS-IL10-KO,36.77035598
Pancreas,Tbc1d4,IL10-KO,39.20205758
Pancreas,Tbc1d4,IL10-KO,46.25625799
Pancreas,Tbc1d4,IL10-KO,47.26368644
Pancreas,Tcf19,DSS-IL10-KO,0.948082041
Pancreas,Tcf19,IL10-KO,1.071940621
Pancreas,Tcf19,IL10-KO,1.364244481
Pancreas,Tcf19,DSS-IL10-KO,1.702571472
Pancreas,Tcf19,IL10-KO,2.223189745
Pancreas,Tcf19,DSS-IL10-KO,2.340862076
