"Gene1","Gene2","N_pair","Correlation","P_value","Signif"
"Ins2","Zfand6",5,0.807118295594575,0.0986934301706572,"ns"
"Glut1","Srr",5,0.734403721924631,0.157601171506151,"ns"
"Glut1","Insr",5,-0.729212627202946,0.162105597670178,"ns"
"Ins1","Zfand6",5,0.72101917160327,0.169289423098314,"ns"
"Glut1","Ins2",5,-0.718052366448723,0.171912691973982,"ns"
"Ins2","Srr",5,-0.714482063656521,0.175084898170335,"ns"
"Insr","Tbc1d4",5,-0.678430796074285,0.208017328554011,"ns"
"Mafa","Srr",5,0.648389595472901,0.236634417066408,"ns"
"Ins1","Mafa",5,0.597913232564729,0.286884619127489,"ns"
"Ins2","Insr",5,0.539283876273244,0.348272975019533,"ns"
"Ins1","Tbc1d4",5,0.524469298806695,0.364245873634994,"ns"
"Glut1","Ins1",5,0.409651260906119,0.493395229954939,"ns"
"Insr","Zfand6",5,0.382910269469398,0.524654101519974,"ns"
"Mafa","Zfand6",5,0.339604904188474,0.57606319700867,"ns"
"Ins1","Ins2",5,0.297438692762163,0.626949920232607,"ns"
"Srr","Zfand6",5,-0.285720943339632,0.641221020093659,"ns"
"Insr","Mafa",5,0.281829042831873,0.645972629352325,"ns"
"Glut1","Tbc1d4",5,0.25870431919268,0.674319488715465,"ns"
"Ins1","Srr",5,0.249728460968911,0.68537241032051,"ns"
"Glut1","Zfand6",5,-0.223528956866702,0.717782245662867,"ns"
"Insr","Srr",5,-0.198962909140924,0.748354003901823,"ns"
"Glut1","Mafa",5,0.195473242208866,0.752709917767777,"ns"
"Ins1","Insr",5,-0.191859152284556,0.757224397408358,"ns"
"Srr","Tbc1d4",5,-0.125933960174814,0.840080741734802,"ns"
"Ins2","Tbc1d4",5,0.120127070412692,0.847418123068086,"ns"
"Tbc1d4","Zfand6",5,0.116465482171891,0.852047463836678,"ns"
"Mafa","Tbc1d4",5,0.0442972772271144,0.943617405823566,"ns"
"Ins2","Mafa",5,0.0389311824410666,0.950443803205275,"ns"
