Cytokines,Group,Relative_intensity
BLC,CTRL,1
GM-CSF,CTRL,1
IFNgamma,CTRL,1
IL-1alpha,CTRL,1
IL-1beta,CTRL,1
IL-2,CTRL,1
IL-7,CTRL,1
IL-13,CTRL,1
IL-17,CTRL,1
I-TAC,CTRL,1
KC,CTRL,1
Leptin,CTRL,1
LIX,CTRL,1
RANTES,CTRL,1
SDF-1,CTRL,1
TCA-3,CTRL,1
TECK,CTRL,1
TIMP-1,CTRL,1
TIMP-2,CTRL,1
CD30L,CTRL,1
Eotaxin,CTRL,1
Eotaxin-2,CTRL,1
Fas Ligand,CTRL,1
Fractalkine,CTRL,1
GCSF,CTRL,1
IL-4,CTRL,1
IL-6,CTRL,1
IL-9,CTRL,1
IL-10,CTRL,1
"IL-12, p40/p70",CTRL,1
"IL-12, p70",CTRL,1
Lymphotacin,CTRL,1
MCP-1,CTRL,1
MCSF,CTRL,1
MIG,CTRL,1
MIP-1alpha,CTRL,1
MIP-1gamma,CTRL,1
TNF-alpha,CTRL,1
sTNF RI,CTRL,1
sTNF RII,CTRL,1
BLC,IL10-KO,0.781414474
GM-CSF,IL10-KO,0.668273076
IFNgamma,IL10-KO,1.373246477
IL-1alpha,IL10-KO,2.111707269
IL-1beta,IL10-KO,1.472795657
IL-2,IL10-KO,0.637268189
IL-7,IL10-KO,1.696477154
IL-13,IL10-KO,0.782869491
IL-17,IL10-KO,1.093765013
I-TAC,IL10-KO,0.967117716
KC,IL10-KO,0.918056334
Leptin,IL10-KO,0.421434196
LIX,IL10-KO,1.221400593
RANTES,IL10-KO,1.908100945
SDF-1,IL10-KO,0.90900801
TCA-3,IL10-KO,1.437323294
TECK,IL10-KO,1.356544695
TIMP-1,IL10-KO,0.70449221
TIMP-2,IL10-KO,0.733524228
CD30L,IL10-KO,0.945392051
Eotaxin,IL10-KO,1.090091848
Eotaxin-2,IL10-KO,0.727253356
Fas Ligand,IL10-KO,1.791479452
Fractalkine,IL10-KO,0.911781009
GCSF,IL10-KO,1.518090511
IL-4,IL10-KO,0.913820455
IL-6,IL10-KO,0.576349882
IL-9,IL10-KO,1.073349748
IL-10,IL10-KO,1.111986358
"IL-12, p40/p70",IL10-KO,0.914598865
"IL-12, p70",IL10-KO,1.053608799
Lymphotacin,IL10-KO,1.212590212
MCP-1,IL10-KO,1.199280619
MCSF,IL10-KO,1.156840857
MIG,IL10-KO,0.21697254
MIP-1alpha,IL10-KO,0.758195024
MIP-1gamma,IL10-KO,1.528210303
TNF-alpha,IL10-KO,1.383943455
sTNF RI,IL10-KO,2.252322617
sTNF RII,IL10-KO,2.940668589
BLC,DSS-IL10-KO,0.811868408
GM-CSF,DSS-IL10-KO,0.369588634
IFNgamma,DSS-IL10-KO,3.984035711
IL-1alpha,DSS-IL10-KO,4.226245827
IL-1beta,DSS-IL10-KO,1.108492072
IL-2,DSS-IL10-KO,0.556312266
IL-7,DSS-IL10-KO,1.319430733
IL-13,DSS-IL10-KO,0.597872522
IL-17,DSS-IL10-KO,1.111679727
I-TAC,DSS-IL10-KO,1.184288737
KC,DSS-IL10-KO,1.295821076
Leptin,DSS-IL10-KO,0.848331249
LIX,DSS-IL10-KO,1.59631914
RANTES,DSS-IL10-KO,1.019436767
SDF-1,DSS-IL10-KO,0.796434281
TCA-3,DSS-IL10-KO,1.289488157
TECK,DSS-IL10-KO,0.765749567
TIMP-1,DSS-IL10-KO,0.855715388
TIMP-2,DSS-IL10-KO,1.002925241
CD30L,DSS-IL10-KO,1.006742448
Eotaxin,DSS-IL10-KO,0.852054043
Eotaxin-2,DSS-IL10-KO,1.12346737
Fas Ligand,DSS-IL10-KO,3.009736852
Fractalkine,DSS-IL10-KO,0.971188691
GCSF,DSS-IL10-KO,4.324106749
IL-4,DSS-IL10-KO,1.109222757
IL-6,DSS-IL10-KO,1.710799936
IL-9,DSS-IL10-KO,0.86653838
IL-10,DSS-IL10-KO,0.844661014
"IL-12, p40/p70",DSS-IL10-KO,1.641888647
"IL-12, p70",DSS-IL10-KO,1.114400382
Lymphotacin,DSS-IL10-KO,1.243528977
MCP-1,DSS-IL10-KO,1.067574057
MCSF,DSS-IL10-KO,0.649214357
MIG,DSS-IL10-KO,0.30466749
MIP-1alpha,DSS-IL10-KO,0.803414557
MIP-1gamma,DSS-IL10-KO,2.650895068
TNF-alpha,DSS-IL10-KO,0.951004023
sTNF RI,DSS-IL10-KO,2.788713423
sTNF RII,DSS-IL10-KO,4.512427858
