"Cytokines","Group","Relative_intensity","Log2_RelativeIntensity"
"BLC","CTRL",1,0
"BLC","IL10-KO",0.781,-0.356
"BLC","DSS-IL10-KO",0.812,-0.301
"CD30L","CTRL",1,0
"CD30L","IL10-KO",0.945,-0.081
"CD30L","DSS-IL10-KO",1.007,0.01
"Eotaxin","CTRL",1,0
"Eotaxin","IL10-KO",1.09,0.124
"Eotaxin","DSS-IL10-KO",0.852,-0.231
"Eotaxin-2","CTRL",1,0
"Eotaxin-2","IL10-KO",0.727,-0.459
"Eotaxin-2","DSS-IL10-KO",1.123,0.168
"Fas Ligand","CTRL",1,0
"Fas Ligand","IL10-KO",1.791,0.841
"Fas Ligand","DSS-IL10-KO",3.01,1.59
"Fractalkine","CTRL",1,0
"Fractalkine","IL10-KO",0.912,-0.133
"Fractalkine","DSS-IL10-KO",0.971,-0.042
"GCSF","CTRL",1,0
"GCSF","IL10-KO",1.518,0.602
"GCSF","DSS-IL10-KO",4.324,2.112
"GM-CSF","CTRL",1,0
"GM-CSF","IL10-KO",0.668,-0.581
"GM-CSF","DSS-IL10-KO",0.37,-1.436
"I-TAC","CTRL",1,0
"I-TAC","IL10-KO",0.967,-0.048
"I-TAC","DSS-IL10-KO",1.184,0.244
"IFNgamma","CTRL",1,0
"IFNgamma","IL10-KO",1.373,0.458
"IFNgamma","DSS-IL10-KO",3.984,1.994
"IL-10","CTRL",1,0
"IL-10","IL10-KO",1.112,0.153
"IL-10","DSS-IL10-KO",0.845,-0.244
"IL-12, p40/p70","CTRL",1,0
"IL-12, p40/p70","IL10-KO",0.915,-0.129
"IL-12, p40/p70","DSS-IL10-KO",1.642,0.715
"IL-12, p70","CTRL",1,0
"IL-12, p70","IL10-KO",1.054,0.075
"IL-12, p70","DSS-IL10-KO",1.114,0.156
"IL-13","CTRL",1,0
"IL-13","IL10-KO",0.783,-0.353
"IL-13","DSS-IL10-KO",0.598,-0.742
"IL-17","CTRL",1,0
"IL-17","IL10-KO",1.094,0.129
"IL-17","DSS-IL10-KO",1.112,0.153
"IL-1alpha","CTRL",1,0
"IL-1alpha","IL10-KO",2.112,1.078
"IL-1alpha","DSS-IL10-KO",4.226,2.079
"IL-1beta","CTRL",1,0
"IL-1beta","IL10-KO",1.473,0.559
"IL-1beta","DSS-IL10-KO",1.108,0.149
"IL-2","CTRL",1,0
"IL-2","IL10-KO",0.637,-0.65
"IL-2","DSS-IL10-KO",0.556,-0.846
"IL-4","CTRL",1,0
"IL-4","IL10-KO",0.914,-0.13
"IL-4","DSS-IL10-KO",1.109,0.15
"IL-6","CTRL",1,0
"IL-6","IL10-KO",0.576,-0.795
"IL-6","DSS-IL10-KO",1.711,0.775
"IL-7","CTRL",1,0
"IL-7","IL10-KO",1.696,0.763
"IL-7","DSS-IL10-KO",1.319,0.4
"IL-9","CTRL",1,0
"IL-9","IL10-KO",1.073,0.102
"IL-9","DSS-IL10-KO",0.867,-0.207
"KC","CTRL",1,0
"KC","IL10-KO",0.918,-0.123
"KC","DSS-IL10-KO",1.296,0.374
"LIX","CTRL",1,0
"LIX","IL10-KO",1.221,0.289
"LIX","DSS-IL10-KO",1.596,0.675
"Leptin","CTRL",1,0
"Leptin","IL10-KO",0.421,-1.247
"Leptin","DSS-IL10-KO",0.848,-0.237
"Lymphotacin","CTRL",1,0
"Lymphotacin","IL10-KO",1.213,0.278
"Lymphotacin","DSS-IL10-KO",1.244,0.314
"MCP-1","CTRL",1,0
"MCP-1","IL10-KO",1.199,0.262
"MCP-1","DSS-IL10-KO",1.068,0.094
"MCSF","CTRL",1,0
"MCSF","IL10-KO",1.157,0.21
"MCSF","DSS-IL10-KO",0.649,-0.623
"MIG","CTRL",1,0
"MIG","IL10-KO",0.217,-2.204
"MIG","DSS-IL10-KO",0.305,-1.715
"MIP-1alpha","CTRL",1,0
"MIP-1alpha","IL10-KO",0.758,-0.399
"MIP-1alpha","DSS-IL10-KO",0.803,-0.316
"MIP-1gamma","CTRL",1,0
"MIP-1gamma","IL10-KO",1.528,0.612
"MIP-1gamma","DSS-IL10-KO",2.651,1.406
"RANTES","CTRL",1,0
"RANTES","IL10-KO",1.908,0.932
"RANTES","DSS-IL10-KO",1.019,0.028
"SDF-1","CTRL",1,0
"SDF-1","IL10-KO",0.909,-0.138
"SDF-1","DSS-IL10-KO",0.796,-0.328
"TCA-3","CTRL",1,0
"TCA-3","IL10-KO",1.437,0.523
"TCA-3","DSS-IL10-KO",1.289,0.367
"TECK","CTRL",1,0
"TECK","IL10-KO",1.357,0.44
"TECK","DSS-IL10-KO",0.766,-0.385
"TIMP-1","CTRL",1,0
"TIMP-1","IL10-KO",0.704,-0.505
"TIMP-1","DSS-IL10-KO",0.856,-0.225
"TIMP-2","CTRL",1,0
"TIMP-2","IL10-KO",0.734,-0.447
"TIMP-2","DSS-IL10-KO",1.003,0.004
"TNF-alpha","CTRL",1,0
"TNF-alpha","IL10-KO",1.384,0.469
"TNF-alpha","DSS-IL10-KO",0.951,-0.072
"sTNF RI","CTRL",1,0
"sTNF RI","IL10-KO",2.252,1.171
"sTNF RI","DSS-IL10-KO",2.789,1.48
"sTNF RII","CTRL",1,0
"sTNF RII","IL10-KO",2.941,1.556
"sTNF RII","DSS-IL10-KO",4.512,2.174
