"Cytokines","Cluster_Label","Relative_intensity","Log2_RelativeIntensity","Fold_vs_CTRL","Direction"
"sTNF RII","Strongly upregulated",4.512,2.174,4.51,"Higher"
"GCSF","Strongly upregulated",4.324,2.112,4.32,"Higher"
"IL-1alpha","Strongly upregulated",4.226,2.079,4.23,"Higher"
"IFNgamma","Strongly upregulated",3.984,1.994,3.98,"Higher"
"MIG","Persistently down",0.305,-1.715,0.3,"Lower"
"Fas Ligand","Strongly upregulated",3.01,1.59,3.01,"Higher"
"sTNF RI","Strongly upregulated",2.789,1.48,2.79,"Higher"
"GM-CSF","Persistently down",0.37,-1.436,0.37,"Lower"
"MIP-1gamma","Strongly upregulated",2.651,1.406,2.65,"Higher"
"IL-2","Persistently down",0.556,-0.846,0.56,"Lower"
"IL-6","DSS-normalised",1.711,0.775,1.71,"Higher"
"IL-13","Persistently down",0.598,-0.742,0.6,"Lower"
"IL-12, p40/p70","Mild/unchanged",1.642,0.715,1.64,"Higher"
"LIX","Mild/unchanged",1.596,0.675,1.6,"Higher"
"MCSF","Mild/unchanged",0.649,-0.623,0.65,"Lower"
"IL-7","Mild/unchanged",1.319,0.4,1.32,"Higher"
"TECK","Mild/unchanged",0.766,-0.385,0.77,"Lower"
"KC","Mild/unchanged",1.296,0.374,1.3,"Higher"
"TCA-3","Mild/unchanged",1.289,0.367,1.29,"Higher"
"SDF-1","Mild/unchanged",0.796,-0.328,0.8,"Lower"
