"Parameter","N_CTRL","N_IL10KO","N_DSS_IL10KO","Median_CTRL","Median_IL10KO","Median_DSS_IL10KO","KW_statistic","KW_pvalue","CTRL_vs_IL10KO_pvalue","CTRL_vs_DSS_IL10KO_pvalue","IL10KO_vs_DSS_IL10KO_pvalue","KW_significance","CTRL_vs_IL10KO_sig","CTRL_vs_DSS_IL10KO_sig","IL10KO_vs_DSS_IL10KO_sig"
"ALB",3,3,3,4.5,4.7,3,4.325,0.115041196308906,1,0.0808555983700523,0.190430263825524,"ns","ns","ns","ns"
"ALP",3,3,3,24,0,35,5.505,0.0637814056896069,0.196705602458947,0.268285883677117,0.0636025696207536,"ns","ns","ns","ns"
"ALT",3,3,3,444,317,39,3.822,0.147915944206379,0.662520583540057,0.0808555983700523,0.382733088885226,"ns","ns","ns","ns"
"AMY",3,3,3,1135,1128,1085,0.267,0.875173319042948,0.662520583540057,1,1,"ns","ns","ns","ns"
"TBIL",3,3,3,0.2,0,0.2,4.931,0.0849740974316576,0.34577858615116,0.301699582478348,0.0721981977016576,"ns","ns","ns","ns"
"BUN",3,3,3,16,26,21,3.578,0.167098170968,0.121183272837463,0.500184257070794,0.375825087488698,"ns","ns","ns","ns"
"CA",3,3,3,10.5,9.7,10.3,0.429,0.806792099341055,1,1,0.50655516904904,"ns","ns","ns","ns"
"PHOS",3,3,3,8.9,13.1,9.1,5.6,0.0608100626252179,0.0808555983700523,0.662520583540057,0.0808555983700523,"ns","ns","ns","ns"
"CRE",3,3,3,0.2,0,0.2,0.857,0.651439057531055,0.637351888233937,NA,0.637351888233937,"ns","ns","ns","ns"
"GLU",3,3,3,239,295,197,6.489,0.0389902195744872,0.0808555983700523,0.190430263825524,0.0808555983700523,"*","ns","ns","ns"
"NA+",3,3,3,154,155,160,1.165,0.558426063544448,1,0.662520583540057,0.375825087488698,"ns","ns","ns","ns"
"K+",3,3,3,14.5,13.6,8.5,3.955,0.138428527990133,0.662520583540057,0.184038627196425,0.115688022299509,"ns","ns","ns","ns"
"TP",3,3,3,5.8,6.1,5.3,3.289,0.19311982178672,1,0.0808555983700523,0.382733088885226,"ns","ns","ns","ns"
"GLOB",3,3,3,1.3,1.8,2.2,6.543,0.0379415415715289,0.184038627196425,0.0808555983700523,0.0765225004750592,"*","ns","ns","ns"
