"Parameter","Group","N","Mean","SD","Median","Q1","Q3","Min","Max"
"ALB","CTRL",3,4.63,0.32,4.5,4.45,4.75,4.4,5
"ALB","IL10-KO",3,4.37,0.85,4.7,4.05,4.85,3.4,5
"ALB","DSS-IL10-KO",3,3.03,0.45,3,2.8,3.25,2.6,3.5
"ALT","CTRL",3,474.33,152.78,444,391.5,542,339,640
"ALT","IL10-KO",3,396.33,406.84,317,176,577,35,837
"ALT","DSS-IL10-KO",3,51,28.93,39,34.5,61.5,30,84
"AMY","CTRL",3,1405,691.72,1135,1012,1663,889,2191
"AMY","IL10-KO",3,1069,227.32,1128,973,1194.5,818,1261
"AMY","DSS-IL10-KO",3,1652.67,1300.04,1085,909,2112.5,733,3140
"BUN","CTRL",3,16.33,1.53,16,15.5,17,15,18
"BUN","IL10-KO",3,24,5.29,26,22,27,18,28
"BUN","DSS-IL10-KO",3,19,3.46,21,18,21,15,21
"CA","CTRL",3,10.03,0.81,10.5,9.8,10.5,9.1,10.5
"CA","IL10-KO",3,10.07,1,9.7,9.5,10.45,9.3,11.2
"CA","DSS-IL10-KO",3,10.53,0.59,10.3,10.2,10.75,10.1,11.2
"PHOS","CTRL",3,8.7,0.62,8.9,8.45,9.05,8,9.2
"PHOS","IL10-KO",3,12.73,0.91,13.1,12.4,13.25,11.7,13.4
"PHOS","DSS-IL10-KO",3,8.87,0.59,9.1,8.65,9.2,8.2,9.3
"GLU","CTRL",3,241,21.07,239,230,251,221,263
"GLU","IL10-KO",3,326.33,73.21,295,284.5,352.5,274,410
"GLU","DSS-IL10-KO",3,202,20.95,197,190.5,211,184,225
"NA+","CTRL",3,154.67,2.08,154,153.5,155.5,153,157
"NA+","IL10-KO",3,151.67,5.77,155,150,155,145,155
"NA+","DSS-IL10-KO",3,157.67,5.86,160,155.5,161,151,162
"TP","CTRL",3,5.97,0.47,5.8,5.7,6.15,5.6,6.5
"TP","IL10-KO",3,6.03,0.8,6.1,5.65,6.45,5.2,6.8
"TP","DSS-IL10-KO",3,5.17,0.32,5.3,5.05,5.35,4.8,5.4
"GLOB","CTRL",3,1.33,0.15,1.3,1.25,1.4,1.2,1.5
"GLOB","IL10-KO",3,1.67,0.23,1.8,1.6,1.8,1.4,1.8
"GLOB","DSS-IL10-KO",3,2.13,0.21,2.2,2.05,2.25,1.9,2.3
