"Parameter","group1","group2","n1","n2","statistic","df","p","p.adj","p.adj.signif"
"ALB","CTRL","IL10-KO",3,3,0.508000508000762,2.56,0.652,0.652,"ns"
"ALB","CTRL","DSS-IL10-KO",3,3,5.0043459373698,3.61554891072191,0.01,0.029,"*"
"ALB","IL10-KO","DSS-IL10-KO",3,3,2.39904057561627,3.0420783310372,0.095,0.142,"ns"
"ALT","CTRL","IL10-KO",3,3,0.310873226790722,2.55304725863001,0.78,0.78,"ns"
"ALT","CTRL","DSS-IL10-KO",3,3,4.71562101573052,2.1432584528759,0.037,0.11,"ns"
"ALT","IL10-KO","DSS-IL10-KO",3,3,1.46648237477568,2.02022648273788,0.279,0.419,"ns"
"AMY","CTRL","IL10-KO",3,3,0.799283654162934,2.42699980782024,0.495,0.78,"ns"
"AMY","CTRL","DSS-IL10-KO",3,3,-0.291300499974482,3.0483953240995,0.79,0.79,"ns"
"AMY","IL10-KO","DSS-IL10-KO",3,3,-0.766002520760224,2.12218177569634,0.52,0.78,"ns"
"BUN","CTRL","IL10-KO",3,3,-2.41105512446041,2.33103448275862,0.119,0.317,"ns"
"BUN","CTRL","DSS-IL10-KO",3,3,-1.21998856266084,2.74944237918216,0.317,0.317,"ns"
"BUN","IL10-KO","DSS-IL10-KO",3,3,1.36930639376292,3.44827586206897,0.253,0.317,"ns"
"CA","CTRL","IL10-KO",3,3,-0.0448561304016255,3.82909229016331,0.966,0.966,"ns"
"CA","CTRL","DSS-IL10-KO",3,3,-0.86747239794936,3.64715961244263,0.439,0.8,"ns"
"CA","IL10-KO","DSS-IL10-KO",3,3,-0.696526033146993,3.22529394328624,0.533,0.8,"ns"
"PHOS","CTRL","IL10-KO",3,3,-6.3421232621676,3.54751131221719,0.005,0.009,"**"
"PHOS","CTRL","DSS-IL10-KO",3,3,-0.337099931231623,3.98386698493703,0.753,0.753,"ns"
"PHOS","IL10-KO","DSS-IL10-KO",3,3,6.20046081236824,3.42092769974029,0.006,0.009,"**"
"GLU","CTRL","IL10-KO",3,3,-1.94000641183599,2.32906499041365,0.174,0.174,"ns"
"GLU","CTRL","DSS-IL10-KO",3,3,2.27323787119299,3.99987174784601,0.085,0.134,"ns"
"GLU","IL10-KO","DSS-IL10-KO",3,3,2.82786822838228,2.32540896363332,0.089,0.134,"ns"
"NA+","CTRL","IL10-KO",3,3,0.846648781545238,2.51135804897237,0.47,0.476,"ns"
"NA+","CTRL","DSS-IL10-KO",3,3,-0.835629021796733,2.49693820745964,0.476,0.476,"ns"
"NA+","IL10-KO","DSS-IL10-KO",3,3,-1.26335233141847,3.99912659517686,0.275,0.476,"ns"
"TP","CTRL","IL10-KO",3,3,-0.124034734589208,3.23925439647324,0.909,0.909,"ns"
"TP","CTRL","DSS-IL10-KO",3,3,2.4243661069253,3.52440366972477,0.081,0.243,"ns"
"TP","IL10-KO","DSS-IL10-KO",3,3,1.73719807243076,2.62632818633866,0.194,0.291,"ns"
"GLOB","CTRL","IL10-KO",3,3,-2.08514414057075,3.46885245901639,0.116,0.116,"ns"
"GLOB","CTRL","DSS-IL10-KO",3,3,-5.3665631459995,3.6697247706422,0.007,0.022,"*"
"GLOB","IL10-KO","DSS-IL10-KO",3,3,-2.59973473447873,3.95764705882353,0.061,0.091,"ns"
