Tissue,Group,Gene,Relative_expression
Spleen,CTRL,Tbc1d4,116.3822505
Spleen,CTRL,Tbc1d4,117.81932
Spleen,CTRL,Tbc1d4,148.9426411
Spleen,CTRL,Tbc1d4,124.5612853
Spleen,CTRL,Mafa,16.45716402
Spleen,CTRL,Mafa,11.59804134
Spleen,CTRL,Mafa,14.48025883
Spleen,CTRL,Mafa,16.75607547
Spleen,CTRL,Ins1,NA
Spleen,CTRL,Ins1,NA
Spleen,CTRL,Ins1,NA
Spleen,CTRL,Ins1,0.208493789
Spleen,CTRL,Ins2,0.350732144
Spleen,CTRL,Ins2,0.354752052
Spleen,CTRL,Ins2,0.789460002
Spleen,CTRL,Ins2,0.309928228
Spleen,CTRL,SRR,296.9626705
Spleen,CTRL,SRR,209.2922
Spleen,CTRL,SRR,235.0260699
Spleen,CTRL,SRR,210.0996096
Spleen,CTRL,Glp1r,1.250159168
Spleen,CTRL,Glp1r,0.514502877
Spleen,CTRL,Glp1r,0.73396794
Spleen,CTRL,Glp1r,0.590174623
Spleen,CTRL,Zfand6,2531.439569
Spleen,CTRL,Zfand6,1770.924826
Spleen,CTRL,Zfand6,1598.161802
Spleen,CTRL,Zfand6,1791.403549
Spleen,CTRL,Ghrhr,6.567884936
Spleen,CTRL,Ghrhr,6.556899813
Spleen,CTRL,Ghrhr,6.851392155
Spleen,CTRL,Ghrhr,4.680907891
Spleen,CTRL,Insr,184.0453694
Spleen,CTRL,Insr,170.5854367
Spleen,CTRL,Insr,156.795328
Spleen,CTRL,Insr,147.1902069
Spleen,CTRL,Glut1,1523.902773
Spleen,CTRL,Glut1,1016.440367
Spleen,CTRL,Glut1,1169.277116
Spleen,CTRL,Glut1,1043.199855
Spleen,CTRL,Tcf19,152.2819125
Spleen,CTRL,Tcf19,120.0781907
Spleen,CTRL,Tcf19,112.8775157
Spleen,CTRL,Tcf19,150.5672235
Spleen,IL10-KO,Tbc1d4,69.34947153
Spleen,IL10-KO,Tbc1d4,98.73148755
Spleen,IL10-KO,Tbc1d4,123.7036805
Spleen,IL10-KO,Tbc1d4,71.03760136
Spleen,IL10-KO,Mafa,3.514365623
Spleen,IL10-KO,Mafa,8.594638457
Spleen,IL10-KO,Mafa,6.912783022
Spleen,IL10-KO,Mafa,4.208850625
Spleen,IL10-KO,Ins1,NA
Spleen,IL10-KO,Ins1,0.079107702
Spleen,IL10-KO,Ins1,NA
Spleen,IL10-KO,Ins1,NA
Spleen,IL10-KO,Ins2,NA
Spleen,IL10-KO,Ins2,NA
Spleen,IL10-KO,Ins2,0.201190101
Spleen,IL10-KO,Ins2,NA
Spleen,IL10-KO,SRR,86.93960073
Spleen,IL10-KO,SRR,160.4229649
Spleen,IL10-KO,SRR,133.8575892
Spleen,IL10-KO,SRR,77.24634736
Spleen,IL10-KO,Glp1r,0.233107479
Spleen,IL10-KO,Glp1r,0.784381881
Spleen,IL10-KO,Glp1r,0.91582626
Spleen,IL10-KO,Glp1r,0.898246169
Spleen,IL10-KO,Zfand6,960.1832806
Spleen,IL10-KO,Zfand6,1726.126743
Spleen,IL10-KO,Zfand6,1189.89559
Spleen,IL10-KO,Zfand6,1128.878308
Spleen,IL10-KO,Ghrhr,1.194350445
Spleen,IL10-KO,Ghrhr,2.138604374
Spleen,IL10-KO,Ghrhr,2.360020981
Spleen,IL10-KO,Ghrhr,0.815459502
Spleen,IL10-KO,Insr,78.52844745
Spleen,IL10-KO,Insr,123.3587352
Spleen,IL10-KO,Insr,68.51716927
Spleen,IL10-KO,Insr,46.74327079
Spleen,IL10-KO,Glut1,467.3596056
Spleen,IL10-KO,Glut1,1061.278531
Spleen,IL10-KO,Glut1,688.601902
Spleen,IL10-KO,Glut1,617.8035466
Spleen,IL10-KO,Tcf19,119.3408487
Spleen,IL10-KO,Tcf19,182.6046111
Spleen,IL10-KO,Tcf19,174.0340593
Spleen,IL10-KO,Tcf19,62.89726993
Spleen,DSS-IL10-KO,Tbc1d4,100.4622044
Spleen,DSS-IL10-KO,Tbc1d4,129.4070381
Spleen,DSS-IL10-KO,Tbc1d4,43.6967686
Spleen,DSS-IL10-KO,Tbc1d4,115.8512206
Spleen,DSS-IL10-KO,Mafa,6.13495333
Spleen,DSS-IL10-KO,Mafa,7.51476185
Spleen,DSS-IL10-KO,Mafa,3.321210481
Spleen,DSS-IL10-KO,Mafa,5.941148878
Spleen,DSS-IL10-KO,Ins1,NA
Spleen,DSS-IL10-KO,Ins1,NA
Spleen,DSS-IL10-KO,Ins1,NA
Spleen,DSS-IL10-KO,Ins1,NA
Spleen,DSS-IL10-KO,Ins2,NA
Spleen,DSS-IL10-KO,Ins2,NA
Spleen,DSS-IL10-KO,Ins2,NA
Spleen,DSS-IL10-KO,Ins2,0.04866711
Spleen,DSS-IL10-KO,SRR,143.4656519
Spleen,DSS-IL10-KO,SRR,134.4768412
Spleen,DSS-IL10-KO,SRR,84.7205913
Spleen,DSS-IL10-KO,SRR,160.3317681
Spleen,DSS-IL10-KO,Glp1r,0.282882645
Spleen,DSS-IL10-KO,Glp1r,0.495611837
Spleen,DSS-IL10-KO,Glp1r,0.097152475
Spleen,DSS-IL10-KO,Glp1r,0.543389129
Spleen,DSS-IL10-KO,Zfand6,1902.01095
Spleen,DSS-IL10-KO,Zfand6,2286.429625
Spleen,DSS-IL10-KO,Zfand6,740.0318889
Spleen,DSS-IL10-KO,Zfand6,3017.172268
Spleen,DSS-IL10-KO,Ghrhr,2.86013783
Spleen,DSS-IL10-KO,Ghrhr,4.510127232
Spleen,DSS-IL10-KO,Ghrhr,2.198730913
Spleen,DSS-IL10-KO,Ghrhr,4.248006153
Spleen,DSS-IL10-KO,Insr,142.0466847
Spleen,DSS-IL10-KO,Insr,115.9096819
Spleen,DSS-IL10-KO,Insr,43.84906101
Spleen,DSS-IL10-KO,Insr,109.294747
Spleen,DSS-IL10-KO,Glut1,577.6152138
Spleen,DSS-IL10-KO,Glut1,598.0438884
Spleen,DSS-IL10-KO,Glut1,258.9340147
Spleen,DSS-IL10-KO,Glut1,511.2102983
Spleen,DSS-IL10-KO,Tcf19,302.7647624
