"Gene",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Mafa","Log2_Fold_Change","CTRL","IL10-KO",4,4,16,0.029,0.0725,"ns"
"Mafa","Log2_Fold_Change","CTRL","DSS-IL10-KO",4,4,16,0.029,0.0725,"ns"
"Mafa","Log2_Fold_Change","IL10-KO","DSS-IL10-KO",4,4,9,0.886,0.886,"ns"
"Insr","Log2_Fold_Change","CTRL","IL10-KO",4,4,16,0.029,0.0725,"ns"
"Insr","Log2_Fold_Change","CTRL","DSS-IL10-KO",4,4,16,0.029,0.0725,"ns"
"Insr","Log2_Fold_Change","IL10-KO","DSS-IL10-KO",4,4,6,0.686,0.792,"ns"
"Glut1","Log2_Fold_Change","CTRL","IL10-KO",4,4,14,0.114,0.19,"ns"
"Glut1","Log2_Fold_Change","CTRL","DSS-IL10-KO",4,4,16,0.029,0.0725,"ns"
"Glut1","Log2_Fold_Change","IL10-KO","DSS-IL10-KO",4,4,13,0.2,0.3,"ns"
"Zfand6","Log2_Fold_Change","CTRL","IL10-KO",4,4,15,0.057,0.122,"ns"
"Zfand6","Log2_Fold_Change","CTRL","DSS-IL10-KO",4,4,6,0.686,0.792,"ns"
"Zfand6","Log2_Fold_Change","IL10-KO","DSS-IL10-KO",4,4,4,0.343,0.468,"ns"
"Tcf19","Log2_Fold_Change","CTRL","IL10-KO",4,4,7,0.886,0.886,"ns"
"Tcf19","Log2_Fold_Change","CTRL","DSS-IL10-KO",4,4,0,0.029,0.0725,"ns"
"Tcf19","Log2_Fold_Change","IL10-KO","DSS-IL10-KO",4,4,2,0.114,0.19,"ns"
