"Gene","Group","n","mean_Log2FC","sd_Log2FC","sem_Log2FC","mean_FC"
"Mafa","CTRL",4,-0.015,0.245,0.122,0.99
"Mafa","IL10-KO",4,-1.445,0.603,0.302,0.37
"Mafa","DSS-IL10-KO",4,-1.432,0.506,0.253,0.37
"Insr","CTRL",4,-0.005,0.141,0.07,1
"Insr","IL10-KO",4,-1.142,0.578,0.289,0.45
"Insr","DSS-IL10-KO",4,-0.805,0.754,0.377,0.57
"Glut1","CTRL",4,-0.019,0.267,0.134,0.99
"Glut1","IL10-KO",4,-0.81,0.491,0.246,0.57
"Glut1","DSS-IL10-KO",4,-1.361,0.566,0.283,0.39
"Zfand6","CTRL",4,-0.023,0.289,0.144,0.98
"Zfand6","IL10-KO",4,-0.655,0.358,0.179,0.64
"Zfand6","DSS-IL10-KO",4,-0.123,0.88,0.44,0.92
"Tcf19","CTRL",4,-0.013,0.222,0.111,0.99
"Tcf19","IL10-KO",4,-0.108,0.71,0.355,0.93
"Tcf19","DSS-IL10-KO",4,1.108,0.606,0.303,2.16
