"Gene1","Gene2","N_pair","Correlation","P_value","Signif"
"Glut1","Mafa",12,0.900190107095977,6.58369104495904e-05,"***"
"Insr","Mafa",12,0.827567746356421,0.000891809996350634,"***"
"Glut1","Insr",12,0.797264613484803,0.00189768482384567,"**"
"Tcf19","Zfand6",12,0.692239156739298,0.0126054344105266,"*"
"Insr","Zfand6",12,0.62365683802091,0.0302347067909436,"*"
"Mafa","Zfand6",12,0.40304071888071,0.193913309005954,"ns"
"Glut1","Zfand6",12,0.372061600410661,0.233674079733258,"ns"
"Glut1","Tcf19",12,-0.325238325831976,0.302279080409065,"ns"
"Mafa","Tcf19",12,-0.212681053214717,0.506914038677907,"ns"
"Insr","Tcf19",12,0.0930003913782968,0.773750718565178,"ns"
