Tissue,Group,Gene,Relative_expression
Liver,CTRL,Tbc1d4,2.49
Liver,CTRL,Tbc1d4,0.77
Liver,CTRL,Tbc1d4,0.94
Liver,CTRL,Tbc1d4,0.98
Liver,CTRL,Mafa,0.09
Liver,CTRL,Mafa,0.03
Liver,CTRL,Mafa,0.03
Liver,CTRL,Mafa,0.06
Liver,CTRL,Ins1,NA
Liver,CTRL,Ins1,NA
Liver,CTRL,Ins1,NA
Liver,CTRL,Ins1,NA
Liver,CTRL,Ins2,0
Liver,CTRL,Ins2,NA
Liver,CTRL,Ins2,0
Liver,CTRL,Ins2,0
Liver,CTRL,Srr,107.24
Liver,CTRL,Srr,28.01
Liver,CTRL,Srr,23.49
Liver,CTRL,Srr,44.94
Liver,CTRL,Glp1r,0.09
Liver,CTRL,Glp1r,0.04
Liver,CTRL,Glp1r,0.03
Liver,CTRL,Glp1r,0.04
Liver,CTRL,Zfand6,117.85
Liver,CTRL,Zfand6,47.81
Liver,CTRL,Zfand6,46.68
Liver,CTRL,Zfand6,63.93
Liver,CTRL,Ghrhr,0.26
Liver,CTRL,Ghrhr,0.11
Liver,CTRL,Ghrhr,0.06
Liver,CTRL,Ghrhr,0.1
Liver,CTRL,Insr,52.73
Liver,CTRL,Insr,24.74
Liver,CTRL,Insr,22.09
Liver,CTRL,Insr,27.22
Liver,CTRL,Glut1,20.74
Liver,CTRL,Glut1,7.48
Liver,CTRL,Glut1,8.36
Liver,CTRL,Glut1,8.07
Liver,CTRL,Tcf19,2.1
Liver,CTRL,Tcf19,0.85
Liver,CTRL,Tcf19,0.63
Liver,CTRL,Tcf19,1.04
Liver,IL10-KO,Tbc1d4,1.87
Liver,IL10-KO,Tbc1d4,1.19
Liver,IL10-KO,Tbc1d4,0.56
Liver,IL10-KO,Tbc1d4,1.59
Liver,IL10-KO,Mafa,0.34
Liver,IL10-KO,Mafa,0.21
Liver,IL10-KO,Mafa,0.18
Liver,IL10-KO,Mafa,0.25
Liver,IL10-KO,Ins1,NA
Liver,IL10-KO,Ins1,NA
Liver,IL10-KO,Ins1,NA
Liver,IL10-KO,Ins1,NA
Liver,IL10-KO,Ins2,0.03
Liver,IL10-KO,Ins2,0
Liver,IL10-KO,Ins2,0
Liver,IL10-KO,Ins2,0.02
Liver,IL10-KO,Srr,81.98
Liver,IL10-KO,Srr,44.79
Liver,IL10-KO,Srr,45.16
Liver,IL10-KO,Srr,51.43
Liver,IL10-KO,Glp1r,0.03
Liver,IL10-KO,Glp1r,0.03
Liver,IL10-KO,Glp1r,0.01
Liver,IL10-KO,Glp1r,0.03
Liver,IL10-KO,Zfand6,104.66
Liver,IL10-KO,Zfand6,110.88
Liver,IL10-KO,Zfand6,45.63
Liver,IL10-KO,Zfand6,82.42
Liver,IL10-KO,Ghrhr,0.12
Liver,IL10-KO,Ghrhr,0.13
Liver,IL10-KO,Ghrhr,0.07
Liver,IL10-KO,Ghrhr,0.16
Liver,IL10-KO,Insr,19.06
Liver,IL10-KO,Insr,9.38
Liver,IL10-KO,Insr,12.8
Liver,IL10-KO,Insr,3
Liver,IL10-KO,Glut1,11.04
Liver,IL10-KO,Glut1,18.73
Liver,IL10-KO,Glut1,6.75
Liver,IL10-KO,Glut1,9.85
Liver,IL10-KO,Tcf19,1.92
Liver,IL10-KO,Tcf19,1.21
Liver,IL10-KO,Tcf19,0.77
Liver,IL10-KO,Tcf19,1.21
Liver,DSS-IL10-KO,Tbc1d4,9.69
Liver,DSS-IL10-KO,Tbc1d4,5.38
Liver,DSS-IL10-KO,Tbc1d4,7.24
Liver,DSS-IL10-KO,Tbc1d4,10.75
Liver,DSS-IL10-KO,Mafa,1.74
Liver,DSS-IL10-KO,Mafa,1.11
Liver,DSS-IL10-KO,Mafa,1.91
Liver,DSS-IL10-KO,Mafa,2.44
Liver,DSS-IL10-KO,Ins1,0.04
Liver,DSS-IL10-KO,Ins1,0.01
Liver,DSS-IL10-KO,Ins1,0.25
Liver,DSS-IL10-KO,Ins1,NA
Liver,DSS-IL10-KO,Ins2,0.03
Liver,DSS-IL10-KO,Ins2,0.02
Liver,DSS-IL10-KO,Ins2,0.11
Liver,DSS-IL10-KO,Ins2,0.04
Liver,DSS-IL10-KO,Srr,152
Liver,DSS-IL10-KO,Srr,78.14
Liver,DSS-IL10-KO,Srr,168.86
Liver,DSS-IL10-KO,Srr,224.8
Liver,DSS-IL10-KO,Glp1r,0.11
Liver,DSS-IL10-KO,Glp1r,0.04
Liver,DSS-IL10-KO,Glp1r,0.21
Liver,DSS-IL10-KO,Glp1r,0.12
Liver,DSS-IL10-KO,Zfand6,483.41
Liver,DSS-IL10-KO,Zfand6,251.8
Liver,DSS-IL10-KO,Zfand6,472.49
Liver,DSS-IL10-KO,Zfand6,756.35
Liver,DSS-IL10-KO,Ghrhr,0.49
Liver,DSS-IL10-KO,Ghrhr,0.37
Liver,DSS-IL10-KO,Ghrhr,0.78
Liver,DSS-IL10-KO,Ghrhr,0.56
Liver,DSS-IL10-KO,Insr,43.01
Liver,DSS-IL10-KO,Insr,27.02
Liver,DSS-IL10-KO,Insr,24.79
Liver,DSS-IL10-KO,Insr,253.2
Liver,DSS-IL10-KO,Glut1,56.96
Liver,DSS-IL10-KO,Glut1,30.62
Liver,DSS-IL10-KO,Glut1,56.33
Liver,DSS-IL10-KO,Glut1,74.73
Liver,DSS-IL10-KO,Tcf19,4.37
Liver,DSS-IL10-KO,Tcf19,2.68
Liver,DSS-IL10-KO,Tcf19,4.96
Liver,DSS-IL10-KO,Tcf19,5.1
