"Group","Gene","Relative_expression","Fold_Change","Log2_Fold_Change"
"CTRL","Tbc1d4",2.49,1.92277992277992,0.943193644381527
"CTRL","Tbc1d4",0.77,0.594594594594595,-0.750021746991652
"CTRL","Tbc1d4",0.94,0.725868725868726,-0.462219436008917
"CTRL","Tbc1d4",0.98,0.756756756756757,-0.402098443571346
"CTRL","Zfand6",117.85,1.70630180620408,0.770872849355023
"CTRL","Zfand6",47.81,0.692221377637818,-0.530694598434813
"CTRL","Zfand6",46.68,0.675860571180367,-0.565202443075159
"CTRL","Zfand6",63.93,0.925616244977739,-0.111513910278648
"CTRL","Ghrhr",0.26,1.9622641509434,0.972519263577893
"CTRL","Ghrhr",0.11,0.830188679245283,-0.268488835925902
"CTRL","Ghrhr",0.06,0.452830188679245,-1.14295795384204
"CTRL","Ghrhr",0.1,0.754716981132076,-0.405992359675837
"CTRL","Glut1",20.74,1.85800671892497,0.89375571880464
"CTRL","Glut1",7.48,0.67010078387458,-0.577550000120948
"CTRL","Glut1",8.36,0.748936170212766,-0.417085327927703
"CTRL","Glut1",8.07,0.722956326987682,-0.468019596730805
"CTRL","Tcf19",2.1,1.81818181818182,0.862496476250065
"CTRL","Tcf19",0.85,0.735930735930736,-0.442358105278356
"CTRL","Tcf19",0.63,0.545454545454545,-0.874469117916141
"CTRL","Tcf19",1.04,0.9004329004329,-0.151309323274965
"IL10-KO","Tbc1d4",1.87,1.44401544401544,0.530086172201083
"IL10-KO","Tbc1d4",1.19,0.918918918918919,-0.12199052437861
"IL10-KO","Tbc1d4",0.56,0.432432432432433,-1.20945336562895
"IL10-KO","Tbc1d4",1.59,1.22779922779923,0.296074667597802
"IL10-KO","Zfand6",104.66,1.51532920693524,0.599631254832208
"IL10-KO","Zfand6",110.88,1.60538603540015,0.682920253354707
"IL10-KO","Zfand6",45.63,0.660658051905744,-0.598024350336854
"IL10-KO","Zfand6",82.42,1.19332537010895,0.254987459497992
"IL10-KO","Ghrhr",0.12,0.90566037735849,-0.142957953842043
"IL10-KO","Ghrhr",0.13,0.981132075471698,-0.027480736422107
"IL10-KO","Ghrhr",0.07,0.528301886792453,-0.920565532505595
"IL10-KO","Ghrhr",0.16,1.20754716981132,0.272079545436801
"IL10-KO","Glut1",11.04,0.989025755879059,-0.0159200032304163
"IL10-KO","Glut1",18.73,1.67793952967525,0.74669072423446
"IL10-KO","Glut1",6.75,0.604703247480403,-0.725700768070392
"IL10-KO","Glut1",9.85,0.882418812989922,-0.180464545664847
"IL10-KO","Tcf19",1.92,1.66233766233766,0.733213459305099
"IL10-KO","Tcf19",1.21,1.04761904761905,0.067114195858537
"IL10-KO","Tcf19",0.77,0.666666666666667,-0.584962500721156
"IL10-KO","Tcf19",1.21,1.04761904761905,0.067114195858537
"DSS-IL10-KO","Tbc1d4",9.69,7.48262548262548,2.90354456772853
"DSS-IL10-KO","Tbc1d4",5.38,4.15444015444016,2.05465407487007
"DSS-IL10-KO","Tbc1d4",7.24,5.59073359073359,2.48303759939665
"DSS-IL10-KO","Tbc1d4",10.75,8.3011583011583,3.05331265679027
"DSS-IL10-KO","Zfand6",483.41,6.99909508813842,2.80716840830814
"DSS-IL10-KO","Zfand6",251.8,3.64570890795237,1.86619937382387
"DSS-IL10-KO","Zfand6",472.49,6.84098888768234,2.77420488654917
"DSS-IL10-KO","Zfand6",756.35,10.9508813841532,3.45297508502197
"DSS-IL10-KO","Ghrhr",0.49,3.69811320754717,1.88678938955201
"DSS-IL10-KO","Ghrhr",0.37,2.79245283018868,1.48153291106575
"DSS-IL10-KO","Ghrhr",0.78,5.88679245283019,2.55748176429905
"DSS-IL10-KO","Ghrhr",0.56,4.22641509433962,2.0794344674944
"DSS-IL10-KO","Glut1",56.96,5.10279955207167,2.35128897095781
"DSS-IL10-KO","Glut1",30.62,2.7431131019037,1.4558141074912
"DSS-IL10-KO","Glut1",56.33,5.04636058230683,2.33524329623096
"DSS-IL10-KO","Glut1",74.73,6.69473684210526,2.74302734695341
"DSS-IL10-KO","Tcf19",4.37,3.78354978354978,1.91974042808454
"DSS-IL10-KO","Tcf19",2.68,2.32034632034632,1.21434014904171
"DSS-IL10-KO","Tcf19",4.96,4.29437229437229,2.10244726897082
"DSS-IL10-KO","Tcf19",5.1,4.41558441558441,2.1426043954428
