"Gene",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Tbc1d4","Log2_Fold_Change","CTRL","IL10-KO",4,4,7,0.886,0.886,"ns"
"Tbc1d4","Log2_Fold_Change","CTRL","DSS-IL10-KO",4,4,0,0.029,0.0435,"*"
"Tbc1d4","Log2_Fold_Change","IL10-KO","DSS-IL10-KO",4,4,0,0.029,0.0435,"*"
"Glut1","Log2_Fold_Change","CTRL","IL10-KO",4,4,7,0.886,0.886,"ns"
"Glut1","Log2_Fold_Change","CTRL","DSS-IL10-KO",4,4,0,0.029,0.0435,"*"
"Glut1","Log2_Fold_Change","IL10-KO","DSS-IL10-KO",4,4,0,0.029,0.0435,"*"
"Zfand6","Log2_Fold_Change","CTRL","IL10-KO",4,4,7,0.886,0.886,"ns"
"Zfand6","Log2_Fold_Change","CTRL","DSS-IL10-KO",4,4,0,0.029,0.0435,"*"
"Zfand6","Log2_Fold_Change","IL10-KO","DSS-IL10-KO",4,4,0,0.029,0.0435,"*"
"Tcf19","Log2_Fold_Change","CTRL","IL10-KO",4,4,6,0.663,0.858,"ns"
"Tcf19","Log2_Fold_Change","CTRL","DSS-IL10-KO",4,4,0,0.029,0.0435,"*"
"Tcf19","Log2_Fold_Change","IL10-KO","DSS-IL10-KO",4,4,0,0.029,0.0435,"*"
"Ghrhr","Log2_Fold_Change","CTRL","IL10-KO",4,4,6,0.686,0.858,"ns"
"Ghrhr","Log2_Fold_Change","CTRL","DSS-IL10-KO",4,4,0,0.029,0.0435,"*"
"Ghrhr","Log2_Fold_Change","IL10-KO","DSS-IL10-KO",4,4,0,0.029,0.0435,"*"
