"Gene","Group","n","mean_Log2FC","sd_Log2FC","sem_Log2FC","mean_FC"
"Tbc1d4","CTRL",4,-0.168,0.756,0.378,0.89
"Tbc1d4","IL10-KO",4,-0.126,0.771,0.386,0.92
"Tbc1d4","DSS-IL10-KO",4,2.624,0.45,0.225,6.16
"Glut1","CTRL",4,-0.142,0.694,0.347,0.91
"Glut1","IL10-KO",4,-0.044,0.608,0.304,0.97
"Glut1","DSS-IL10-KO",4,2.221,0.544,0.272,4.66
"Zfand6","CTRL",4,-0.109,0.622,0.311,0.93
"Zfand6","IL10-KO",4,0.235,0.585,0.292,1.18
"Zfand6","DSS-IL10-KO",4,2.725,0.652,0.326,6.61
"Tcf19","CTRL",4,-0.151,0.738,0.369,0.9
"Tcf19","IL10-KO",4,0.071,0.538,0.269,1.05
"Tcf19","DSS-IL10-KO",4,1.845,0.431,0.216,3.59
"Ghrhr","CTRL",4,-0.211,0.878,0.439,0.86
"Ghrhr","IL10-KO",4,-0.205,0.508,0.254,0.87
"Ghrhr","DSS-IL10-KO",4,2.001,0.447,0.224,4
