"Gene1","Gene2","N_pair","Correlation","P_value","Signif"
"Glut1","Zfand6",12,0.988839243987176,1.33851418837594e-09,"***"
"Glut1","Tbc1d4",12,0.978516404053091,3.47673156930739e-08,"***"
"Tbc1d4","Zfand6",12,0.973122785326622,1.05588664478518e-07,"***"
"Glut1","Tcf19",12,0.97207952680004,1.27510743963555e-07,"***"
"Tbc1d4","Tcf19",12,0.961461853842561,6.27484933346523e-07,"***"
"Ghrhr","Tcf19",12,0.958029786288046,9.55723548745624e-07,"***"
"Tcf19","Zfand6",12,0.954528447197452,1.41823476651481e-06,"***"
"Ghrhr","Glut1",12,0.914928206445104,3.03797836651576e-05,"***"
"Ghrhr","Tbc1d4",12,0.883051942123285,0.00014113362246837,"***"
"Ghrhr","Zfand6",12,0.875867371906789,0.000187778643439218,"***"
