Tissue,Group,Gene,Relative_expression
Kidney,CTRL,Tbc1d4,14.23441788
Kidney,CTRL,Tbc1d4,9.238038048
Kidney,CTRL,Tbc1d4,9.061582839
Kidney,CTRL,Tbc1d4,9.597059331
Kidney,CTRL,Mafa,0.279849186
Kidney,CTRL,Mafa,0.143963489
Kidney,CTRL,Mafa,0.093176275
Kidney,CTRL,Mafa,0.097511144
Kidney,CTRL,Ins1,NA
Kidney,CTRL,Ins1,NA
Kidney,CTRL,Ins1,NA
Kidney,CTRL,Ins1,NA
Kidney,CTRL,Ins2,0.050940332
Kidney,CTRL,Ins2,0.074382604
Kidney,CTRL,Ins2,0.02678487
Kidney,CTRL,Ins2,0.052537613
Kidney,CTRL,Srr,20.19172779
Kidney,CTRL,Srr,58.47602759
Kidney,CTRL,Srr,59.04787807
Kidney,CTRL,Srr,81.35642464
Kidney,CTRL,Glp1r,0.882953616
Kidney,CTRL,Glp1r,0.412412826
Kidney,CTRL,Glp1r,0.486957169
Kidney,CTRL,Glp1r,0.290521843
Kidney,CTRL,Zfand6,109.8273304
Kidney,CTRL,Zfand6,69.4339342
Kidney,CTRL,Zfand6,46.06339157
Kidney,CTRL,Zfand6,55.12317436
Kidney,CTRL,Ghrhr,1.145705428
Kidney,CTRL,Ghrhr,0.584163877
Kidney,CTRL,Ghrhr,0.441802646
Kidney,CTRL,Ghrhr,0.778500112
Kidney,CTRL,Insr,27.48858307
Kidney,CTRL,Insr,12.43542387
Kidney,CTRL,Insr,16.72903981
Kidney,CTRL,Insr,19.69882683
Kidney,CTRL,Glut1,208.5274997
Kidney,CTRL,Glut1,151.5625689
Kidney,CTRL,Glut1,111.640973
Kidney,CTRL,Glut1,128.820401
Kidney,CTRL,Glut4,NA
Kidney,CTRL,Glut4,NA
Kidney,CTRL,Glut4,0.019375695
Kidney,CTRL,Glut4,0.003827352
Kidney,IL10-KO,Tbc1d4,23.88174258
Kidney,IL10-KO,Tbc1d4,18.23143163
Kidney,IL10-KO,Tbc1d4,11.94399124
Kidney,IL10-KO,Tbc1d4,9.613742961
Kidney,IL10-KO,Mafa,0.934683845
Kidney,IL10-KO,Mafa,0.722433047
Kidney,IL10-KO,Mafa,0.66890832
Kidney,IL10-KO,Mafa,0.643421337
Kidney,IL10-KO,Ins1,0.014962758
Kidney,IL10-KO,Ins1,NA
Kidney,IL10-KO,Ins1,NA
Kidney,IL10-KO,Ins1,NA
Kidney,IL10-KO,Ins2,0.134474895
Kidney,IL10-KO,Ins2,0.056641646
Kidney,IL10-KO,Ins2,0.080784655
Kidney,IL10-KO,Ins2,0.063763281
Kidney,IL10-KO,Srr,88.21123473
Kidney,IL10-KO,Srr,58.17638883
Kidney,IL10-KO,Srr,55.89357472
Kidney,IL10-KO,Srr,42.48982419
Kidney,IL10-KO,Glp1r,0.417501005
Kidney,IL10-KO,Glp1r,0.274272364
Kidney,IL10-KO,Glp1r,0.245819715
Kidney,IL10-KO,Glp1r,0.233106351
Kidney,IL10-KO,Zfand6,164.9085021
Kidney,IL10-KO,Zfand6,95.02747674
Kidney,IL10-KO,Zfand6,93.20437936
Kidney,IL10-KO,Zfand6,96.93629207
Kidney,IL10-KO,Ghrhr,0.738932498
Kidney,IL10-KO,Ghrhr,0.474872417
Kidney,IL10-KO,Ghrhr,0.747978596
Kidney,IL10-KO,Ghrhr,0.411627046
Kidney,IL10-KO,Insr,31.20026201
Kidney,IL10-KO,Insr,25.5626827
Kidney,IL10-KO,Insr,20.95794372
Kidney,IL10-KO,Insr,19.85032029
Kidney,IL10-KO,Glut1,222.4880131
Kidney,IL10-KO,Glut1,153.7103481
Kidney,IL10-KO,Glut1,189.8945667
Kidney,IL10-KO,Glut1,85.34246638
Kidney,IL10-KO,Glut4,NA
Kidney,IL10-KO,Glut4,NA
Kidney,IL10-KO,Glut4,NA
Kidney,IL10-KO,Glut4,NA
Kidney,DSS-IL10-KO,Tbc1d4,16.59015275
Kidney,DSS-IL10-KO,Tbc1d4,18.4898064
Kidney,DSS-IL10-KO,Tbc1d4,7.924832012
Kidney,DSS-IL10-KO,Tbc1d4,19.44902252
Kidney,DSS-IL10-KO,Mafa,0.274090702
Kidney,DSS-IL10-KO,Mafa,0.29327934
Kidney,DSS-IL10-KO,Mafa,0.319686423
Kidney,DSS-IL10-KO,Mafa,0.307985761
Kidney,DSS-IL10-KO,Ins1,NA
Kidney,DSS-IL10-KO,Ins1,NA
Kidney,DSS-IL10-KO,Ins1,NA
Kidney,DSS-IL10-KO,Ins1,NA
Kidney,DSS-IL10-KO,Ins2,0.050583981
Kidney,DSS-IL10-KO,Ins2,0.004080183
Kidney,DSS-IL10-KO,Ins2,0.028668078
Kidney,DSS-IL10-KO,Ins2,0.047310822
Kidney,DSS-IL10-KO,Srr,57.14270997
Kidney,DSS-IL10-KO,Srr,51.78417367
Kidney,DSS-IL10-KO,Srr,61.54755699
Kidney,DSS-IL10-KO,Srr,56.70804092
Kidney,DSS-IL10-KO,Glp1r,0.166047437
Kidney,DSS-IL10-KO,Glp1r,0.161718847
Kidney,DSS-IL10-KO,Glp1r,0.282436642
Kidney,DSS-IL10-KO,Glp1r,0.29264614
Kidney,DSS-IL10-KO,Zfand6,94.37564023
Kidney,DSS-IL10-KO,Zfand6,91.81165132
Kidney,DSS-IL10-KO,Zfand6,94.50765995
Kidney,DSS-IL10-KO,Zfand6,80.51526173
Kidney,DSS-IL10-KO,Ghrhr,0.564236457
Kidney,DSS-IL10-KO,Ghrhr,0.470664099
Kidney,DSS-IL10-KO,Ghrhr,0.691661205
Kidney,DSS-IL10-KO,Ghrhr,0.509817149
Kidney,DSS-IL10-KO,Insr,23.87127361
Kidney,DSS-IL10-KO,Insr,21.99892203
Kidney,DSS-IL10-KO,Insr,25.93647191
Kidney,DSS-IL10-KO,Insr,26.46001069
Kidney,DSS-IL10-KO,Glut1,212.5112484
Kidney,DSS-IL10-KO,Glut1,340.586409
Kidney,DSS-IL10-KO,Glut1,193.3310896
Kidney,DSS-IL10-KO,Glut1,213.330482
Kidney,DSS-IL10-KO,Glut4,NA
Kidney,DSS-IL10-KO,Glut4,0.004962153
Kidney,DSS-IL10-KO,Glut4,0.001195487
Kidney,DSS-IL10-KO,Glut4,0.00202995
