"Gene",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Mafa","Log2_Fold_Change","CTRL","IL10-KO",4,4,0,0.029,0.171,"ns"
"Mafa","Log2_Fold_Change","CTRL","DSS-IL10-KO",4,4,1,0.057,0.171,"ns"
"Mafa","Log2_Fold_Change","IL10-KO","DSS-IL10-KO",4,4,16,0.029,0.171,"ns"
"Glut1","Log2_Fold_Change","CTRL","IL10-KO",4,4,6,0.686,0.686,"ns"
"Glut1","Log2_Fold_Change","CTRL","DSS-IL10-KO",4,4,1,0.057,0.171,"ns"
"Glut1","Log2_Fold_Change","IL10-KO","DSS-IL10-KO",4,4,3,0.2,0.3,"ns"
"Zfand6","Log2_Fold_Change","CTRL","IL10-KO",4,4,3,0.2,0.3,"ns"
"Zfand6","Log2_Fold_Change","CTRL","DSS-IL10-KO",4,4,4,0.343,0.412,"ns"
"Zfand6","Log2_Fold_Change","IL10-KO","DSS-IL10-KO",4,4,14,0.114,0.274,"ns"
"Insr","Log2_Fold_Change","CTRL","IL10-KO",4,4,3,0.2,0.3,"ns"
"Insr","Log2_Fold_Change","CTRL","DSS-IL10-KO",4,4,4,0.343,0.412,"ns"
"Insr","Log2_Fold_Change","IL10-KO","DSS-IL10-KO",4,4,6,0.686,0.686,"ns"
