"Gene","Group","n","mean_Log2FC","sd_Log2FC","sem_Log2FC","mean_FC"
"Mafa","CTRL",4,-0.151,0.734,0.367,0.9
"Mafa","IL10-KO",4,2.257,0.242,0.121,4.78
"Mafa","DSS-IL10-KO",4,0.957,0.096,0.048,1.94
"Glut1","CTRL",4,-0.04,0.387,0.194,0.97
"Glut1","IL10-KO",4,0.031,0.605,0.302,1.02
"Glut1","DSS-IL10-KO",4,0.639,0.368,0.184,1.56
"Zfand6","CTRL",4,-0.08,0.542,0.271,0.95
"Zfand6","IL10-KO",4,0.638,0.398,0.199,1.56
"Zfand6","DSS-IL10-KO",4,0.362,0.11,0.055,1.29
"Insr","CTRL",4,-0.059,0.477,0.238,0.96
"Insr","IL10-KO",4,0.33,0.297,0.148,1.26
"Insr","DSS-IL10-KO",4,0.36,0.122,0.061,1.28
