"Organ_Pair","Organ1","Organ2","Gene_Organ1","Gene_Organ2","Correlation","P_value","N","Gene1","Gene2","Group","Analysis_Note","Significance","Significant"
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Tbc1d4","Kidney_Tbc1d4",0.0479944093016788,0.882250760371543,12,"Tbc1d4","Tbc1d4","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Mafa","Kidney_Tbc1d4",0.170026268386242,0.597290354081294,12,"Mafa","Tbc1d4","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Ins1","Kidney_Tbc1d4",0.489275068850553,0.324651198841213,6,"Ins1","Tbc1d4","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Ins2","Kidney_Tbc1d4",0.197197476469126,0.539006795739041,12,"Ins2","Tbc1d4","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Srr","Kidney_Tbc1d4",-0.449234202551131,0.142900029092537,12,"Srr","Tbc1d4","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Glp1r","Kidney_Tbc1d4",0.108538153651964,0.798083609596178,8,"Glp1r","Tbc1d4","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Zfand6","Kidney_Tbc1d4",0.428582263690828,0.164495485672616,12,"Zfand6","Tbc1d4","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Ghrhr","Kidney_Tbc1d4",-0.518949773615445,0.124285196857623,10,"Ghrhr","Tbc1d4","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Insr","Kidney_Tbc1d4",-0.114491961779936,0.737475401646565,11,"Insr","Tbc1d4","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Glut1","Kidney_Tbc1d4",-0.416638171966551,0.231014231600093,10,"Glut1","Tbc1d4","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Tcf19","Kidney_Tbc1d4",0.654892724826841,0.0779944699090278,8,"Tcf19","Tbc1d4","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Tbc1d4","Kidney_Mafa",0.499772415787279,0.0980319316352804,12,"Tbc1d4","Mafa","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Mafa","Kidney_Mafa",-0.138684770866048,0.667307693981526,12,"Mafa","Mafa","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Ins1","Kidney_Mafa",0.654498690060225,0.158435287515004,6,"Ins1","Mafa","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Ins2","Kidney_Mafa",-0.332129779961467,0.291544029866804,12,"Ins2","Mafa","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Srr","Kidney_Mafa",-0.417824588132005,0.176517685552657,12,"Srr","Mafa","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Glp1r","Kidney_Mafa",-0.573202023628051,0.137456304720549,8,"Glp1r","Mafa","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Zfand6","Kidney_Mafa",0.493548020410396,0.102965291815613,12,"Zfand6","Mafa","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Ghrhr","Kidney_Mafa",-0.310732394580397,0.382188915739191,10,"Ghrhr","Mafa","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Insr","Kidney_Mafa",-0.365994257994128,0.268307459382221,11,"Insr","Mafa","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Glut1","Kidney_Mafa",-0.443660539454844,0.199018662570687,10,"Glut1","Mafa","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Tcf19","Kidney_Mafa",0.0331719655174293,0.93784817677275,8,"Tcf19","Mafa","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Tbc1d4","Kidney_Ins1",NA,NA,NA,"Tbc1d4","Ins1","All_Groups","Metabolic-immune axis (n=12)","p>0.05",NA
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Mafa","Kidney_Ins1",NA,NA,NA,"Mafa","Ins1","All_Groups","Metabolic-immune axis (n=12)","p>0.05",NA
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Ins1","Kidney_Ins1",NA,NA,NA,"Ins1","Ins1","All_Groups","Metabolic-immune axis (n=12)","p>0.05",NA
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Ins2","Kidney_Ins1",NA,NA,NA,"Ins2","Ins1","All_Groups","Metabolic-immune axis (n=12)","p>0.05",NA
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Srr","Kidney_Ins1",NA,NA,NA,"Srr","Ins1","All_Groups","Metabolic-immune axis (n=12)","p>0.05",NA
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Glp1r","Kidney_Ins1",NA,NA,NA,"Glp1r","Ins1","All_Groups","Metabolic-immune axis (n=12)","p>0.05",NA
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Zfand6","Kidney_Ins1",NA,NA,NA,"Zfand6","Ins1","All_Groups","Metabolic-immune axis (n=12)","p>0.05",NA
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Ghrhr","Kidney_Ins1",NA,NA,NA,"Ghrhr","Ins1","All_Groups","Metabolic-immune axis (n=12)","p>0.05",NA
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Insr","Kidney_Ins1",NA,NA,NA,"Insr","Ins1","All_Groups","Metabolic-immune axis (n=12)","p>0.05",NA
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Glut1","Kidney_Ins1",NA,NA,NA,"Glut1","Ins1","All_Groups","Metabolic-immune axis (n=12)","p>0.05",NA
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Tcf19","Kidney_Ins1",NA,NA,NA,"Tcf19","Ins1","All_Groups","Metabolic-immune axis (n=12)","p>0.05",NA
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Tbc1d4","Kidney_Ins2",0.162490217780521,0.61386874954773,12,"Tbc1d4","Ins2","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Mafa","Kidney_Ins2",0.000699578740234222,0.998278381567392,12,"Mafa","Ins2","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Ins1","Kidney_Ins2",0.517143286925622,0.293436740563533,6,"Ins1","Ins2","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Ins2","Kidney_Ins2",-0.570552793084769,0.0527149397922476,12,"Ins2","Ins2","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Srr","Kidney_Ins2",-0.0122085448463485,0.969961504145753,12,"Srr","Ins2","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Glp1r","Kidney_Ins2",-0.340647624612727,0.408976866805365,8,"Glp1r","Ins2","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Zfand6","Kidney_Ins2",-0.00928852136843059,0.977144158776423,12,"Zfand6","Ins2","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Ghrhr","Kidney_Ins2",0.113596675072012,0.754689123362745,10,"Ghrhr","Ins2","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Insr","Kidney_Ins2",-0.673965067080642,0.0229650800243342,11,"Insr","Ins2","All_Groups","Metabolic-immune axis (n=12)","p<0.05",TRUE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Glut1","Kidney_Ins2",0.0452225826430463,0.901277660853676,10,"Glut1","Ins2","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Tcf19","Kidney_Ins2",0.198355447409173,0.637723729259974,8,"Tcf19","Ins2","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Tbc1d4","Kidney_Srr",-0.256200628985603,0.421526884928314,12,"Tbc1d4","Srr","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Mafa","Kidney_Srr",0.163535776191305,0.61155848412916,12,"Mafa","Srr","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Ins1","Kidney_Srr",-0.466022710501792,0.35157068019043,6,"Ins1","Srr","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Ins2","Kidney_Srr",-0.0598010355402733,0.853532856968319,12,"Ins2","Srr","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Srr","Kidney_Srr",-0.111522570091345,0.730050499746402,12,"Srr","Srr","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Glp1r","Kidney_Srr",0.199107288848417,0.636423177879028,8,"Glp1r","Srr","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Zfand6","Kidney_Srr",-0.153290248890265,0.634334170615742,12,"Zfand6","Srr","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Ghrhr","Kidney_Srr",-0.479130333691956,0.161180132304175,10,"Ghrhr","Srr","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Insr","Kidney_Srr",-0.115723801115665,0.734738235386877,11,"Insr","Srr","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Glut1","Kidney_Srr",0.0638417375999143,0.860914004821369,10,"Glut1","Srr","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Tcf19","Kidney_Srr",0.20524621309627,0.625834518694668,8,"Tcf19","Srr","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Tbc1d4","Kidney_Glp1r",-0.33963793614344,0.280097267795219,12,"Tbc1d4","Glp1r","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Mafa","Kidney_Glp1r",0.223214256244921,0.485578333194628,12,"Mafa","Glp1r","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Ins1","Kidney_Glp1r",0.0944531607784047,0.858741586026891,6,"Ins1","Glp1r","All_Groups","Metabolic-immune axis (n=12)","p>0.05",FALSE
