"Organ_Pair","Organ1","Organ2","Gene_Organ1","Gene_Organ2","Correlation","P_value","N","Gene1","Gene2","Group","Analysis_Note","Significance","Significant"
"Pancreas_vs_Liver","Pancreas","Liver","Pancreas_Ins2","Liver_Tbc1d4",0.888070482331658,0.000114336698474466,12,"Ins2","Tbc1d4","All_Groups","Metabolic-immune axis (n=12)","p<0.001",TRUE
"Pancreas_vs_Liver","Pancreas","Liver","Pancreas_Ins2","Liver_Mafa",0.873355333007827,0.000206653201022495,12,"Ins2","Mafa","All_Groups","Metabolic-immune axis (n=12)","p<0.001",TRUE
"Pancreas_vs_Colon","Pancreas","Colon","Pancreas_Zfand6","Colon_Mafa",-0.863979741556227,0.000290525692942224,12,"Zfand6","Mafa","All_Groups","Metabolic-immune axis (n=12)","p<0.001",TRUE
"Pancreas_vs_Kidney","Pancreas","Kidney","Pancreas_Ghrhr","Kidney_Glp1r",0.903482623165292,0.000337435535959267,10,"Ghrhr","Glp1r","All_Groups","Metabolic-immune axis (n=12)","p<0.001",TRUE
"Pancreas_vs_Colon","Pancreas","Colon","Pancreas_Zfand6","Colon_Tbc1d4",-0.877443522130623,0.000386298914971537,11,"Zfand6","Tbc1d4","All_Groups","Metabolic-immune axis (n=12)","p<0.001",TRUE
"Pancreas_vs_Liver","Pancreas","Liver","Pancreas_Ins2","Liver_Ghrhr",0.853024899682836,0.000419766600876132,12,"Ins2","Ghrhr","All_Groups","Metabolic-immune axis (n=12)","p<0.001",TRUE
"Kidney_vs_Colon","Kidney","Colon","Kidney_Mafa","Colon_Tbc1d4",-0.872228378931492,0.000462342577780575,11,"Mafa","Tbc1d4","All_Groups","Metabolic-immune axis (n=12)","p<0.001",TRUE
"Pancreas_vs_Colon","Pancreas","Colon","Pancreas_Zfand6","Colon_Ghrhr",-0.848224850209074,0.000488776341540761,12,"Zfand6","Ghrhr","All_Groups","Metabolic-immune axis (n=12)","p<0.001",TRUE
"Pancreas_vs_Liver","Pancreas","Liver","Pancreas_Ins2","Liver_Tcf19",0.848151269075177,0.000489898554980532,12,"Ins2","Tcf19","All_Groups","Metabolic-immune axis (n=12)","p<0.001",TRUE
"Colon_vs_Spleen","Colon","Spleen","Colon_Zfand6","Spleen_Ghrhr",0.84569716003922,0.000528487293681747,12,"Zfand6","Ghrhr","All_Groups","Metabolic-immune axis (n=12)","p<0.001",TRUE
"Pancreas_vs_Colon","Pancreas","Colon","Pancreas_Zfand6","Colon_Glut1",-0.843899268644362,0.000558222378325315,12,"Zfand6","Glut1","All_Groups","Metabolic-immune axis (n=12)","p<0.001",TRUE
"Kidney_vs_Colon","Kidney","Colon","Kidney_Zfand6","Colon_Srr",-0.862080734541709,0.000642219474457083,11,"Zfand6","Srr","All_Groups","Metabolic-immune axis (n=12)","p<0.001",TRUE
"Pancreas_vs_Liver","Pancreas","Liver","Pancreas_Ins2","Liver_Glut1",0.837897746017623,0.000666969667501096,12,"Ins2","Glut1","All_Groups","Metabolic-immune axis (n=12)","p<0.001",TRUE
"Kidney_vs_Colon","Kidney","Colon","Kidney_Mafa","Colon_Glp1r",-0.824389441941696,0.000971562472188124,12,"Mafa","Glp1r","All_Groups","Metabolic-immune axis (n=12)","p<0.001",TRUE
