Organ1,Organ2,Col1,Col2,Gene1,Gene2,N,Correlation,P_value,rank,BH_threshold,p_adj_BH,Sig_raw,Sig_BH
Liver,Pancreas,Liver_Tbc1d4,Pancreas_Ins2,Tbc1d4,Ins2,12,0.8880704823316584,0.00011433669847446429,1,0.00017421602787456446,0.03281463246217125,True,True
Colon,Pancreas,Colon_Mafa,Pancreas_Zfand6,Mafa,Zfand6,12,-0.8639797415562273,0.00029052569294222435,2,0.0003484320557491289,0.035150221319853195,True,True
Liver,Pancreas,Liver_Ghrhr,Pancreas_Ins2,Ghrhr,Ins2,12,0.8530248996828358,0.00041976660087613056,3,0.0005226480836236935,0.035150221319853195,True,True
Liver,Pancreas,Liver_Tcf19,Pancreas_Ins2,Tcf19,Ins2,12,0.848151269075177,0.0004898985549805323,4,0.0006968641114982578,0.035150221319853195,True,True
Liver,Pancreas,Liver_Glut1,Pancreas_Ins2,Glut1,Ins2,12,0.8378977460176228,0.0006669696675010966,5,0.0008710801393728223,0.03828405891456295,True,True
Colon,Kidney,Colon_Glp1r,Kidney_Mafa,Glp1r,Mafa,12,-0.8243894419416962,0.0009715624721881295,6,0.001045296167247387,0.043082658790870657,True,True
Colon,Pancreas,Colon_Zfand6,Pancreas_Zfand6,Zfand6,Zfand6,12,-0.8214252571616045,0.0010507965558748942,7,0.0012195121951219514,0.043082658790870657,True,True
Colon,Kidney,Colon_Insr,Kidney_Mafa,Insr,Mafa,12,-0.8042677282314111,0.0016120140416398614,8,0.0013937282229965157,0.05158483695975151,True,False
Liver,Pancreas,Liver_Zfand6,Pancreas_Ins2,Zfand6,Ins2,12,0.8041208726109258,0.0016176429708632878,9,0.0015679442508710801,0.05158483695975151,True,False
Liver,Spleen,Liver_Tbc1d4,Spleen_Tcf19,Tbc1d4,Tcf19,12,0.7936792901450435,0.0020581579190803462,10,0.0017421602787456446,0.05906913227760594,True,False
Pancreas,Spleen,Pancreas_Ins2,Spleen_Tcf19,Ins2,Tcf19,12,0.7770353636121183,0.002943326863928464,11,0.001916376306620209,0.07665183781340101,True,False
Liver,Spleen,Liver_Zfand6,Spleen_Tcf19,Zfand6,Tcf19,12,0.7728603489235858,0.0032049548911526555,12,0.002090592334494774,0.07665183781340101,True,False
Colon,Kidney,Colon_Zfand6,Kidney_Mafa,Zfand6,Mafa,12,-0.7681409268344851,0.0035215916344116228,13,0.002264808362369338,0.07774590762124121,True,False
Liver,Spleen,Liver_Glut1,Spleen_Tcf19,Glut1,Tcf19,12,0.7581446923251336,0.00427025811138789,14,0.002439024390243903,0.08551545728397156,True,False
Colon,Spleen,Colon_Zfand6,Spleen_Mafa,Zfand6,Mafa,12,0.7557113718487729,0.004469448986967155,15,0.002613240418118467,0.08551545728397156,True,False
Colon,Kidney,Colon_Tcf19,Kidney_Mafa,Tcf19,Mafa,12,-0.7511185880861393,0.004864479605917156,16,0.0027874564459930314,0.08725660293113899,True,False
Colon,Spleen,Colon_Mafa,Spleen_Mafa,Mafa,Mafa,12,0.7322302996134685,0.0067723865542683335,17,0.002961672473867596,0.10701521590026648,True,False
Colon,Kidney,Colon_Glp1r,Kidney_Zfand6,Glp1r,Zfand6,12,-0.7305907559325735,0.006961092104389227,18,0.0031358885017421603,0.10701521590026648,True,False
Pancreas,Spleen,Pancreas_Srr,Spleen_Mafa,Srr,Mafa,12,0.7289355746121122,0.007155572519238647,19,0.003310104529616725,0.10701521590026648,True,False
Colon,Spleen,Colon_Zfand6,Spleen_Insr,Zfand6,Insr,12,0.7264314975149936,0.007457506334513344,20,0.003484320557491289,0.10701521590026648,True,False
Colon,Kidney,Colon_Insr,Kidney_Zfand6,Insr,Zfand6,12,-0.714564909505685,0.009019984157822897,21,0.0036585365853658534,0.1232731168235796,True,False
Kidney,Spleen,Kidney_Glut1,Spleen_Tcf19,Glut1,Tcf19,12,0.6987939868289542,0.01145944526319607,22,0.003832752613240418,0.14949367229714872,True,False
Colon,Kidney,Colon_Mafa,Kidney_Insr,Mafa,Insr,12,-0.6921425701280512,0.012622930497744711,23,0.004006968641114983,0.15106604096639575,True,False
Colon,Kidney,Colon_Zfand6,Kidney_Zfand6,Zfand6,Zfand6,12,-0.6878401737923805,0.013420680556546001,24,0.004181184668989548,0.15106604096639575,True,False
