Organ1,Organ2,Col1,Col2,Gene1,Gene2,N,Correlation,P_value,Group,Sig_raw
Colon,Kidney,Colon_Glp1r,Kidney_Glut1,Glp1r,Glut1,4,-0.7597563743658889,0.24024362563411117,CTRL,False
Colon,Kidney,Colon_Glp1r,Kidney_Insr,Glp1r,Insr,4,-0.9854574457144969,0.014542554285503106,CTRL,True
Colon,Kidney,Colon_Glp1r,Kidney_Mafa,Glp1r,Mafa,4,-0.8201602694637609,0.17983973053623914,CTRL,False
Colon,Kidney,Colon_Glp1r,Kidney_Zfand6,Glp1r,Zfand6,4,-0.7860399597881729,0.21396004021182713,CTRL,False
Colon,Liver,Colon_Glp1r,Liver_Ghrhr,Glp1r,Ghrhr,4,-0.8685712564518507,0.13142874354814937,CTRL,False
Colon,Liver,Colon_Glp1r,Liver_Glut1,Glp1r,Glut1,4,-0.9556798870439537,0.04432011295604621,CTRL,True
Colon,Liver,Colon_Glp1r,Liver_Tbc1d4,Glp1r,Tbc1d4,4,-0.9727937756545917,0.027206224345408314,CTRL,True
Colon,Liver,Colon_Glp1r,Liver_Tcf19,Glp1r,Tcf19,4,-0.920674015074089,0.07932598492591092,CTRL,False
Colon,Liver,Colon_Glp1r,Liver_Zfand6,Glp1r,Zfand6,4,-0.9620058959634074,0.037994104036592535,CTRL,True
Colon,Pancreas,Colon_Glp1r,Pancreas_Ins1,Glp1r,Ins1,3,-0.983986200277081,0.11408369659050573,CTRL,False
Colon,Pancreas,Colon_Glp1r,Pancreas_Ins2,Glp1r,Ins2,4,-0.12976118514782747,0.8702388148521725,CTRL,False
Colon,Pancreas,Colon_Glp1r,Pancreas_Insr,Glp1r,Insr,4,0.17083708680882959,0.8291629131911704,CTRL,False
Colon,Pancreas,Colon_Glp1r,Pancreas_Mafa,Glp1r,Mafa,4,0.051556173770430674,0.9484438262295694,CTRL,False
Colon,Pancreas,Colon_Glp1r,Pancreas_Srr,Glp1r,Srr,4,-0.39609991940393136,0.6039000805960686,CTRL,False
Colon,Pancreas,Colon_Glp1r,Pancreas_Tbc1d4,Glp1r,Tbc1d4,4,-0.1351511491168402,0.8648488508831598,CTRL,False
Colon,Pancreas,Colon_Glp1r,Pancreas_Zfand6,Glp1r,Zfand6,4,-0.8228170417611044,0.17718295823889552,CTRL,False
Colon,Spleen,Colon_Glp1r,Spleen_Glut1,Glp1r,Glut1,4,-0.9483766293388922,0.05162337066110778,CTRL,False
Colon,Spleen,Colon_Glp1r,Spleen_Insr,Glp1r,Insr,4,-0.5575120509144209,0.4424879490855791,CTRL,False
Colon,Spleen,Colon_Glp1r,Spleen_Mafa,Glp1r,Mafa,4,-0.7225357663808382,0.27746423361916195,CTRL,False
Colon,Spleen,Colon_Glp1r,Spleen_Tcf19,Glp1r,Tcf19,4,-0.6994181919346564,0.30058180806534374,CTRL,False
Colon,Spleen,Colon_Glp1r,Spleen_Zfand6,Glp1r,Zfand6,4,-0.9020673482570664,0.09793265174293353,CTRL,False
Colon,Kidney,Colon_Insr,Kidney_Glut1,Insr,Glut1,4,-0.9517756697949606,0.048224330205039356,CTRL,True
Colon,Kidney,Colon_Insr,Kidney_Insr,Insr,Insr,4,-0.8587100968516135,0.14128990314838652,CTRL,False
Colon,Kidney,Colon_Insr,Kidney_Mafa,Insr,Mafa,4,-0.9378627263491078,0.062137273650892055,CTRL,False
Colon,Kidney,Colon_Insr,Kidney_Zfand6,Insr,Zfand6,4,-0.9545954083807578,0.04540459161924204,CTRL,True
Colon,Liver,Colon_Insr,Liver_Ghrhr,Insr,Ghrhr,4,-0.9872714465198964,0.0127285534801036,CTRL,True
Colon,Liver,Colon_Insr,Liver_Glut1,Insr,Glut1,4,-0.931080185063678,0.06891981493632215,CTRL,False
Colon,Liver,Colon_Insr,Liver_Tbc1d4,Insr,Tbc1d4,4,-0.9343288262229081,0.06567117377709186,CTRL,False
Colon,Liver,Colon_Insr,Liver_Tcf19,Insr,Tcf19,4,-0.995029142492124,0.004970857507875959,CTRL,True
Colon,Liver,Colon_Insr,Liver_Zfand6,Insr,Zfand6,4,-0.9756868808008814,0.024313119199118605,CTRL,True
Colon,Pancreas,Colon_Insr,Pancreas_Ins1,Insr,Ins1,3,-0.9967803211467474,0.05109965774060735,CTRL,False
Colon,Pancreas,Colon_Insr,Pancreas_Ins2,Insr,Ins2,4,-0.5391634577806256,0.4608365422193743,CTRL,False
Colon,Pancreas,Colon_Insr,Pancreas_Insr,Insr,Insr,4,0.15357224175212766,0.8464277582478723,CTRL,False
Colon,Pancreas,Colon_Insr,Pancreas_Mafa,Insr,Mafa,4,0.517595820616142,0.48240417938385804,CTRL,False
Colon,Pancreas,Colon_Insr,Pancreas_Srr,Insr,Srr,4,-0.144953790715677,0.855046209284323,CTRL,False
Colon,Pancreas,Colon_Insr,Pancreas_Tbc1d4,Insr,Tbc1d4,4,-0.5679690641123971,0.4320309358876029,CTRL,False
Colon,Pancreas,Colon_Insr,Pancreas_Zfand6,Insr,Zfand6,4,-0.8990422160605217,0.10095778393947841,CTRL,False
Colon,Spleen,Colon_Insr,Spleen_Glut1,Insr,Glut1,4,-0.8178715946081521,0.18212840539184794,CTRL,False
Colon,Spleen,Colon_Insr,Spleen_Insr,Insr,Insr,4,-0.723340400333067,0.276659599666933,CTRL,False
Colon,Spleen,Colon_Insr,Spleen_Mafa,Insr,Mafa,4,-0.4930427381873299,0.5069572618126701,CTRL,False
Colon,Spleen,Colon_Insr,Spleen_Tcf19,Insr,Tcf19,4,-0.785854325370697,0.2141456746293029,CTRL,False
Colon,Spleen,Colon_Insr,Spleen_Zfand6,Insr,Zfand6,4,-0.9906528482296516,0.009347151770348283,CTRL,True
Colon,Kidney,Colon_Mafa,Kidney_Glut1,Mafa,Glut1,4,-0.8896142194571146,0.11038578054288539,CTRL,False
Colon,Kidney,Colon_Mafa,Kidney_Insr,Mafa,Insr,4,-0.7665457521113088,0.23345424788869118,CTRL,False
Colon,Kidney,Colon_Mafa,Kidney_Mafa,Mafa,Mafa,4,-0.8294488212110767,0.17055117878892334,CTRL,False
Colon,Kidney,Colon_Mafa,Kidney_Zfand6,Mafa,Zfand6,4,-0.8796416646736784,0.12035833532632156,CTRL,False
Colon,Liver,Colon_Mafa,Liver_Ghrhr,Mafa,Ghrhr,4,-0.9138243604022587,0.08617563959774133,CTRL,False
Colon,Liver,Colon_Mafa,Liver_Glut1,Mafa,Glut1,4,-0.7918189407737116,0.2081810592262885,CTRL,False
Colon,Liver,Colon_Mafa,Liver_Tbc1d4,Mafa,Tbc1d4,4,-0.8022479387550759,0.19775206124492417,CTRL,False
Colon,Liver,Colon_Mafa,Liver_Tcf19,Mafa,Tcf19,4,-0.9313835251191042,0.06861647488089595,CTRL,False
Colon,Liver,Colon_Mafa,Liver_Zfand6,Mafa,Zfand6,4,-0.8937087075050734,0.10629129249492664,CTRL,False
Colon,Pancreas,Colon_Mafa,Pancreas_Ins1,Mafa,Ins1,3,-0.9377299464228918,0.2258471151293448,CTRL,False
Colon,Pancreas,Colon_Mafa,Pancreas_Ins2,Mafa,Ins2,4,-0.5647184259501231,0.4352815740498768,CTRL,False
Colon,Pancreas,Colon_Mafa,Pancreas_Insr,Mafa,Insr,4,-0.07140074675682653,0.9285992532431735,CTRL,False
Colon,Pancreas,Colon_Mafa,Pancreas_Mafa,Mafa,Mafa,4,0.6857773996653973,0.3142226003346027,CTRL,False
