"Group","Parameter","Replicate","Value","Min","Max","Unit","Status","Percent_diff"
"CTRL","ALB","Rep1",4.4,2.2,3.05,"g/dL","Above reference",44.3
"CTRL","ALT","Rep1",339,18,94,"U/L","Above reference",260.6
"CTRL","AMY","Rep1",2191,507,962,"U/L","Above reference",127.8
"CTRL","BUN","Rep1",15,23,42,"mg/dL","Below reference",34.8
"CTRL","CA","Rep1",10.5,8.6,10,"mg/dL","Above reference",5
"CTRL","PHOS","Rep1",8,2.5,7.8,"mg/dL","Above reference",2.6
"CTRL","GLU","Rep1",239,60,133,"mg/dL","Above reference",79.7
"CTRL","NA+","Rep1",154,140,156,"mmol/L","Within range",0
"CTRL","TP","Rep1",5.6,4.4,5.7,"g/dL","Within range",0
"CTRL","GLOB","Rep1",1.2,1.5,2.4,"g/dL","Below reference",20
"CTRL","ALB","Rep2",4.5,2.2,3.05,"g/dL","Above reference",47.5
"CTRL","ALT","Rep2",444,18,94,"U/L","Above reference",372.3
"CTRL","AMY","Rep2",1135,507,962,"U/L","Above reference",18
"CTRL","BUN","Rep2",16,23,42,"mg/dL","Below reference",30.4
"CTRL","CA","Rep2",10.5,8.6,10,"mg/dL","Above reference",5
"CTRL","PHOS","Rep2",9.2,2.5,7.8,"mg/dL","Above reference",17.9
"CTRL","GLU","Rep2",263,60,133,"mg/dL","Above reference",97.7
"CTRL","NA+","Rep2",157,140,156,"mmol/L","Above reference",0.6
"CTRL","TP","Rep2",5.8,4.4,5.7,"g/dL","Above reference",1.8
"CTRL","GLOB","Rep2",1.3,1.5,2.4,"g/dL","Below reference",13.3
"CTRL","ALB","Rep3",5,2.2,3.05,"g/dL","Above reference",63.9
"CTRL","ALT","Rep3",640,18,94,"U/L","Above reference",580.9
"CTRL","AMY","Rep3",889,507,962,"U/L","Within range",0
"CTRL","BUN","Rep3",18,23,42,"mg/dL","Below reference",21.7
"CTRL","CA","Rep3",9.1,8.6,10,"mg/dL","Within range",0
"CTRL","PHOS","Rep3",8.9,2.5,7.8,"mg/dL","Above reference",14.1
"CTRL","GLU","Rep3",221,60,133,"mg/dL","Above reference",66.2
"CTRL","NA+","Rep3",153,140,156,"mmol/L","Within range",0
"CTRL","TP","Rep3",6.5,4.4,5.7,"g/dL","Above reference",14
"CTRL","GLOB","Rep3",1.5,1.5,2.4,"g/dL","Within range",0
"IL10-KO","ALB","Rep1",4.7,2.2,3.05,"g/dL","Above reference",54.1
"IL10-KO","ALT","Rep1",317,18,94,"U/L","Above reference",237.2
"IL10-KO","AMY","Rep1",1128,507,962,"U/L","Above reference",17.3
"IL10-KO","BUN","Rep1",26,23,42,"mg/dL","Within range",0
"IL10-KO","CA","Rep1",11.2,8.6,10,"mg/dL","Above reference",12
"IL10-KO","PHOS","Rep1",13.4,2.5,7.8,"mg/dL","Above reference",71.8
"IL10-KO","GLU","Rep1",274,60,133,"mg/dL","Above reference",106
"IL10-KO","NA+","Rep1",155,140,156,"mmol/L","Within range",0
"IL10-KO","TP","Rep1",6.1,4.4,5.7,"g/dL","Above reference",7
"IL10-KO","GLOB","Rep1",1.4,1.5,2.4,"g/dL","Below reference",6.7
"IL10-KO","ALB","Rep2",5,2.2,3.05,"g/dL","Above reference",63.9
"IL10-KO","AMY","Rep2",818,507,962,"U/L","Within range",0
"IL10-KO","BUN","Rep2",28,23,42,"mg/dL","Within range",0
"IL10-KO","CA","Rep2",9.3,8.6,10,"mg/dL","Within range",0
"IL10-KO","PHOS","Rep2",13.1,2.5,7.8,"mg/dL","Above reference",67.9
"IL10-KO","GLU","Rep2",410,60,133,"mg/dL","Above reference",208.3
"IL10-KO","NA+","Rep2",145,140,156,"mmol/L","Within range",0
"IL10-KO","TP","Rep2",6.8,4.4,5.7,"g/dL","Above reference",19.3
"IL10-KO","GLOB","Rep2",1.8,1.5,2.4,"g/dL","Within range",0
"IL10-KO","ALB","Rep3",3.4,2.2,3.05,"g/dL","Above reference",11.5
"IL10-KO","ALT","Rep3",837,18,94,"U/L","Above reference",790.4
"IL10-KO","AMY","Rep3",1261,507,962,"U/L","Above reference",31.1
"IL10-KO","BUN","Rep3",18,23,42,"mg/dL","Below reference",21.7
"IL10-KO","CA","Rep3",9.7,8.6,10,"mg/dL","Within range",0
"IL10-KO","PHOS","Rep3",11.7,2.5,7.8,"mg/dL","Above reference",50
"IL10-KO","GLU","Rep3",295,60,133,"mg/dL","Above reference",121.8
"IL10-KO","NA+","Rep3",155,140,156,"mmol/L","Within range",0
"IL10-KO","TP","Rep3",5.2,4.4,5.7,"g/dL","Within range",0
"IL10-KO","GLOB","Rep3",1.8,1.5,2.4,"g/dL","Within range",0
"DSS-IL10-KO","ALB","Rep1",3.5,2.2,3.05,"g/dL","Above reference",14.8
"DSS-IL10-KO","ALT","Rep1",84,18,94,"U/L","Within range",0
"DSS-IL10-KO","AMY","Rep1",3140,507,962,"U/L","Above reference",226.4
"DSS-IL10-KO","BUN","Rep1",21,23,42,"mg/dL","Below reference",8.7
"DSS-IL10-KO","CA","Rep1",11.2,8.6,10,"mg/dL","Above reference",12
"DSS-IL10-KO","PHOS","Rep1",9.3,2.5,7.8,"mg/dL","Above reference",19.2
"DSS-IL10-KO","GLU","Rep1",184,60,133,"mg/dL","Above reference",38.3
"DSS-IL10-KO","NA+","Rep1",160,140,156,"mmol/L","Above reference",2.6
"DSS-IL10-KO","TP","Rep1",5.4,4.4,5.7,"g/dL","Within range",0
"DSS-IL10-KO","GLOB","Rep1",1.9,1.5,2.4,"g/dL","Within range",0
"DSS-IL10-KO","ALB","Rep2",3,2.2,3.05,"g/dL","Within range",0
"DSS-IL10-KO","ALT","Rep2",39,18,94,"U/L","Within range",0
"DSS-IL10-KO","AMY","Rep2",1085,507,962,"U/L","Above reference",12.8
"DSS-IL10-KO","BUN","Rep2",21,23,42,"mg/dL","Below reference",8.7
"DSS-IL10-KO","CA","Rep2",10.3,8.6,10,"mg/dL","Above reference",3
"DSS-IL10-KO","PHOS","Rep2",8.2,2.5,7.8,"mg/dL","Above reference",5.1
"DSS-IL10-KO","GLU","Rep2",225,60,133,"mg/dL","Above reference",69.2
"DSS-IL10-KO","NA+","Rep2",162,140,156,"mmol/L","Above reference",3.8
"DSS-IL10-KO","TP","Rep2",5.3,4.4,5.7,"g/dL","Within range",0
"DSS-IL10-KO","GLOB","Rep2",2.3,1.5,2.4,"g/dL","Within range",0
"DSS-IL10-KO","ALB","Rep3",2.6,2.2,3.05,"g/dL","Within range",0
"DSS-IL10-KO","ALT","Rep3",30,18,94,"U/L","Within range",0
"DSS-IL10-KO","AMY","Rep3",733,507,962,"U/L","Within range",0
"DSS-IL10-KO","BUN","Rep3",15,23,42,"mg/dL","Below reference",34.8
"DSS-IL10-KO","CA","Rep3",10.1,8.6,10,"mg/dL","Above reference",1
"DSS-IL10-KO","PHOS","Rep3",9.1,2.5,7.8,"mg/dL","Above reference",16.7
"DSS-IL10-KO","GLU","Rep3",197,60,133,"mg/dL","Above reference",48.1
"DSS-IL10-KO","NA+","Rep3",151,140,156,"mmol/L","Within range",0
"DSS-IL10-KO","TP","Rep3",4.8,4.4,5.7,"g/dL","Within range",0
"DSS-IL10-KO","GLOB","Rep3",2.2,1.5,2.4,"g/dL","Within range",0
