Cycle,RFU,Gene,Group,Replicate
1,-20.1170015046459,Ins1,IL10-KO,1
1,-11.238963008087,Ins1,IL10-KO,2
1,-10.0438776927022,Ins1,IL10-KO,3
1,-20.8973812568747,Ins1,IL10-KO,4
1,-2.86281231201838,Ins2,IL10-KO,1
1,-6.07273394055346,Ins2,IL10-KO,2
1,-11.6511860341056,Ins2,IL10-KO,3
1,0.299977940624558,Ins2,IL10-KO,4
1,-1.74223749078146,Ins1,DSS-IL10-KO,1
1,-9.17742954328514,Ins1,DSS-IL10-KO,2
1,-13.6742948648925,Ins1,DSS-IL10-KO,3
1,-13.5218316405944,Ins1,DSS-IL10-KO,4
1,-1.21158791695143,Ins2,DSS-IL10-KO,1
1,5.25416388759595,Ins2,DSS-IL10-KO,2
1,-0.301451652584092,Ins2,DSS-IL10-KO,3
1,-5.98141928225232,Ins2,DSS-IL10-KO,4
2,-13.1139826163799,Ins1,IL10-KO,1
2,-2.63519683429013,Ins1,IL10-KO,2
2,-9.56679009258278,Ins1,IL10-KO,3
2,-15.7084172203618,Ins1,IL10-KO,4
2,-4.55919787886478,Ins2,IL10-KO,1
2,-2.46991264766939,Ins2,IL10-KO,2
2,-8.32672336287669,Ins2,IL10-KO,3
2,-1.4830954372369,Ins2,IL10-KO,4
2,-1.78913220722779,Ins1,DSS-IL10-KO,1
2,-2.26794133674957,Ins1,DSS-IL10-KO,2
2,-11.9927461249213,Ins1,DSS-IL10-KO,3
2,-9.12074950499027,Ins1,DSS-IL10-KO,4
2,5.08122946604317,Ins2,DSS-IL10-KO,1
2,0.789223392522217,Ins2,DSS-IL10-KO,2
2,-1.38082923326601,Ins2,DSS-IL10-KO,3
2,-5.17736867961639,Ins2,DSS-IL10-KO,4
3,-12.1359417523649,Ins1,IL10-KO,1
3,0.153304285317518,Ins1,IL10-KO,2
3,-3.70284681123303,Ins1,IL10-KO,3
3,-11.4949904713003,Ins1,IL10-KO,4
3,-3.51210259160098,Ins2,IL10-KO,1
3,-0.119085245428778,Ins2,IL10-KO,2
3,0.043891141941458,Ins2,IL10-KO,3
3,0.793910013986988,Ins2,IL10-KO,4
3,-1.12899087653659,Ins1,DSS-IL10-KO,1
3,-2.71010773648959,Ins1,DSS-IL10-KO,2
3,-6.34497624340793,Ins1,DSS-IL10-KO,3
3,-4.03848336547208,Ins1,DSS-IL10-KO,4
3,-1.97348510425309,Ins2,DSS-IL10-KO,1
3,2.09412007878473,Ins2,DSS-IL10-KO,2
3,1.78381157992726,Ins2,DSS-IL10-KO,3
3,-3.7452086940857,Ins2,DSS-IL10-KO,4
4,-9.17565459288153,Ins1,IL10-KO,1
4,-3.46333056114372,Ins1,IL10-KO,2
4,0.344870090259064,Ins1,IL10-KO,3
4,0.0370641713652731,Ins1,IL10-KO,4
4,3.36970409503738,Ins2,IL10-KO,1
4,1.37447427572488,Ins2,IL10-KO,2
4,-1.21277670273867,Ins2,IL10-KO,3
4,4.78925933459777,Ins2,IL10-KO,4
4,-1.51067953591246,Ins1,DSS-IL10-KO,1
4,-4.65364979302376,Ins1,DSS-IL10-KO,2
4,-9.36338983501582,Ins1,DSS-IL10-KO,3
4,0.356636712499039,Ins1,DSS-IL10-KO,4
4,5.7447715297294,Ins2,DSS-IL10-KO,1
4,1.86922023074794,Ins2,DSS-IL10-KO,2
4,1.565485418349,Ins2,DSS-IL10-KO,3
4,-0.476636278624483,Ins2,DSS-IL10-KO,4
5,-4.18615915850887,Ins1,IL10-KO,1
5,0.313456202230554,Ins1,IL10-KO,2
5,0.687776350947388,Ins1,IL10-KO,3
5,-5.71457628919461,Ins1,IL10-KO,4
5,2.47262004058484,Ins2,IL10-KO,1
5,-2.50506356613369,Ins2,IL10-KO,2
5,1.97852053426368,Ins2,IL10-KO,3
5,-0.478844848155404,Ins2,IL10-KO,4
5,-0.140090674192379,Ins1,DSS-IL10-KO,1
5,1.67536543460574,Ins1,DSS-IL10-KO,2
5,2.71356552563793,Ins1,DSS-IL10-KO,3
5,-2.4611121555331,Ins1,DSS-IL10-KO,4
5,0.729619687462218,Ins2,DSS-IL10-KO,1
5,2.67444714059548,Ins2,DSS-IL10-KO,2
5,0.760900865663643,Ins2,DSS-IL10-KO,3
5,2.81091248440725,Ins2,DSS-IL10-KO,4
6,-5.44051218148252,Ins1,IL10-KO,1
6,-1.39257093969809,Ins1,IL10-KO,2
6,3.09627891204718,Ins1,IL10-KO,3
6,-0.935303862507681,Ins1,IL10-KO,4
6,0.879691263383847,Ins2,IL10-KO,1
6,1.35998195147431,Ins2,IL10-KO,2
6,4.01440981957376,Ins2,IL10-KO,3
6,3.15358255507863,Ins2,IL10-KO,4
6,1.82255378988475,Ins1,DSS-IL10-KO,1
6,2.94426865803734,Ins1,DSS-IL10-KO,2
6,0.712851616763601,Ins1,DSS-IL10-KO,3
6,-1.04601615919273,Ins1,DSS-IL10-KO,4
6,3.52393215482471,Ins2,DSS-IL10-KO,1
6,3.40240044010488,Ins2,DSS-IL10-KO,2
6,5.08311306857058,Ins2,DSS-IL10-KO,3
6,3.29754924010604,Ins2,DSS-IL10-KO,4
7,-9.66629227592739,Ins1,IL10-KO,1
7,1.21451023775535,Ins1,IL10-KO,2
7,2.07364440454785,Ins1,IL10-KO,3
7,3.20059928217142,Ins1,IL10-KO,4
7,-0.739965652263436,Ins2,IL10-KO,1
7,4.31753548946745,Ins2,IL10-KO,2
7,-1.49629998885939,Ins2,IL10-KO,3
7,5.12901552386484,Ins2,IL10-KO,4
7,0.788403147896588,Ins1,DSS-IL10-KO,1
7,1.95206999588527,Ins1,DSS-IL10-KO,2
7,-3.52346088282138,Ins1,DSS-IL10-KO,3
7,0.225965162006105,Ins1,DSS-IL10-KO,4
7,4.39842379588254,Ins2,DSS-IL10-KO,1
7,2.4332720519601,Ins2,DSS-IL10-KO,2
7,2.36011698447146,Ins2,DSS-IL10-KO,3
7,8.37268582718889,Ins2,DSS-IL10-KO,4
8,-1.44521534613841,Ins1,IL10-KO,1
8,0.676693602048544,Ins1,IL10-KO,2
8,1.37611527495301,Ins1,IL10-KO,3
8,-0.684905555163368,Ins1,IL10-KO,4
8,1.76560536782517,Ins2,IL10-KO,1
8,2.22391784702177,Ins2,IL10-KO,2
8,3.3762890263074,Ins2,IL10-KO,3
8,-3.76922145456956,Ins2,IL10-KO,4
8,5.27303949589214,Ins1,DSS-IL10-KO,1
8,-1.7915422534752,Ins1,DSS-IL10-KO,2
8,-5.26428599912242,Ins1,DSS-IL10-KO,3
8,-2.93654930615321,Ins1,DSS-IL10-KO,4
8,0.326940809499774,Ins2,DSS-IL10-KO,1
8,0.213053308130839,Ins2,DSS-IL10-KO,2
8,-0.931545684047706,Ins2,DSS-IL10-KO,3
8,7.95027486551408,Ins2,DSS-IL10-KO,4
9,-6.27715884728104,Ins1,IL10-KO,1
9,-0.227734732027329,Ins1,IL10-KO,2
9,-1.36960881018285,Ins1,IL10-KO,3
9,3.56709932179683,Ins1,IL10-KO,4
9,2.86716998238626,Ins2,IL10-KO,1
9,0.158147210278003,Ins2,IL10-KO,2
9,0.401655391494842,Ins2,IL10-KO,3
9,1.13693342053648,Ins2,IL10-KO,4
9,-1.53352623448609,Ins1,DSS-IL10-KO,1
9,-0.629430149876498,Ins1,DSS-IL10-KO,2
9,0.896592693512503,Ins1,DSS-IL10-KO,3
9,5.8140950099646,Ins1,DSS-IL10-KO,4
9,-2.17809679631273,Ins2,DSS-IL10-KO,1
9,-0.453834843330242,Ins2,DSS-IL10-KO,2
9,2.46939842627671,Ins2,DSS-IL10-KO,3
9,2.50702164096811,Ins2,DSS-IL10-KO,4
10,0.847183953528656,Ins1,IL10-KO,1
10,0.990235758806193,Ins1,IL10-KO,2
10,4.64635874966871,Ins1,IL10-KO,3
10,-1.34918938577493,Ins1,IL10-KO,4
10,-0.890339126142862,Ins2,IL10-KO,1
10,0.32116510870901,Ins2,IL10-KO,2
10,1.21915115421416,Ins2,IL10-KO,3
10,4.61707292673691,Ins2,IL10-KO,4
10,0.777330801523476,Ins1,DSS-IL10-KO,1
10,-2.82579702938483,Ins1,DSS-IL10-KO,2
10,3.82985425241259,Ins1,DSS-IL10-KO,3
10,4.78980306155518,Ins1,DSS-IL10-KO,4
10,-0.679982265634862,Ins2,DSS-IL10-KO,1
10,-0.246939222337915,Ins2,DSS-IL10-KO,2
10,-1.61510844379518,Ins2,DSS-IL10-KO,3
10,1.94801994718819,Ins2,DSS-IL10-KO,4
11,-1.58612047385441,Ins1,IL10-KO,1
11,-0.934238141077003,Ins1,IL10-KO,2
11,-2.5384594678294,Ins1,IL10-KO,3
11,7.28560444263212,Ins1,IL10-KO,4
11,1.77979367253874,Ins2,IL10-KO,1
11,2.06023406182794,Ins2,IL10-KO,2
11,1.19492062216932,Ins2,IL10-KO,3
11,-2.39517178575534,Ins2,IL10-KO,4
11,-3.27650648324789,Ins1,DSS-IL10-KO,1
11,1.56246815061422,Ins1,DSS-IL10-KO,2
11,-1.17833938100557,Ins1,DSS-IL10-KO,3
11,1.67415335868964,Ins1,DSS-IL10-KO,4
11,-0.380470594820054,Ins2,DSS-IL10-KO,1
11,1.82481981111278,Ins2,DSS-IL10-KO,2
11,-0.601935856297587,Ins2,DSS-IL10-KO,3
11,6.27821865392525,Ins2,DSS-IL10-KO,4
12,-2.06097919597141,Ins1,IL10-KO,1
12,1.53211883965878,Ins1,IL10-KO,2
12,-5.64808122277009,Ins1,IL10-KO,3
12,2.70960995403857,Ins1,IL10-KO,4
12,0.34863040840537,Ins2,IL10-KO,1
12,-2.22263092098547,Ins2,IL10-KO,2
12,-0.209905587021694,Ins2,IL10-KO,3
12,1.66198499018992,Ins2,IL10-KO,4
12,3.35683273347649,Ins1,DSS-IL10-KO,1
12,6.66103273200042,Ins1,DSS-IL10-KO,2
12,-0.217773964995558,Ins1,DSS-IL10-KO,3
12,1.34579461037265,Ins1,DSS-IL10-KO,4
12,2.83829356081515,Ins2,DSS-IL10-KO,1
12,4.331003032019,Ins2,DSS-IL10-KO,2
