"Gene1","Gene2","N_pair","Correlation","P_value","Signif"
"Ins2","Zfand6",5,0.996126531370476,0.000289222068178052,"***"
"Glut1","Srr",5,0.955438755942643,0.0112161920698779,"*"
"Ins1","Insr",5,0.948768130397799,0.0138126903757141,"*"
"Ins1","Tbc1d4",5,0.933419766277454,0.0204157963392042,"*"
"Ins2","Tbc1d4",5,0.868123269208596,0.0563382116141331,"ns"
"Tbc1d4","Zfand6",5,0.856275961406025,0.0639788480829893,"ns"
"Insr","Tbc1d4",5,0.832422076149208,0.0802471284179043,"ns"
"Ins2","Srr",5,-0.813962039322149,0.0935900336829409,"ns"
"Srr","Zfand6",5,-0.809343104267241,0.0970253439175548,"ns"
"Ins1","Ins2",5,0.80911357104964,0.0971970395619506,"ns"
"Ins1","Zfand6",5,0.791455291660422,0.110677085178848,"ns"
"Insr","Mafa",5,0.731981915719785,0.159698040064128,"ns"
"Glut1","Ins2",5,-0.663153029717727,0.222443545219525,"ns"
"Glut1","Zfand6",5,-0.649319818190755,0.235733195380702,"ns"
"Ins2","Insr",5,0.635279484651111,0.249434536788463,"ns"
"Ins1","Mafa",5,0.625309336746428,0.259289790202726,"ns"
"Glut1","Mafa",5,0.597942736121275,0.28685450883216,"ns"
"Insr","Zfand6",5,0.595929758039473,0.28891077651114,"ns"
"Mafa","Tbc1d4",5,0.580381967438409,0.304920417056832,"ns"
"Srr","Tbc1d4",5,-0.473186330010001,0.420826565044368,"ns"
"Mafa","Srr",5,0.424825221771593,0.47583743698193,"ns"
"Ins1","Srr",5,-0.334952219212509,0.581640056713985,"ns"
"Glut1","Tbc1d4",5,-0.247986509568819,0.687520555864374,"ns"
"Glut1","Ins1",5,-0.166255469208887,0.789296230054754,"ns"
"Insr","Srr",5,-0.150094021098414,0.80961434622663,"ns"
"Ins2","Mafa",5,0.115797333778771,0.852892420731484,"ns"
"Mafa","Zfand6",5,0.0936756480704939,0.880903127978769,"ns"
"Glut1","Insr",5,-0.0307091948061026,0.960905985253646,"ns"
